,food_drink
59,Cách ăn và bis <
60,Món ăn cũng phổ có
61," , , in <unk>"
62,Ngoài cái ngọt ra thì tất_cả không ăn ngay
63, khoai_tây da ngập xào
64, <unk>
65, uống cà phê
66, <unk>
67, tôm sinh
68, <unk>
69, _ <unk>
70,
71,
72,<unk> <unk>
73, & và cơ tử
74,
75,Các món ăn <
76,
77, <unk>
78,Ai uống nào bạn bạn hội thích
79,Tôi Danh_sách ăn món n sau
80,"Bạn có ai nào cho bất_kỳ món ăn , thức uống <unk>"
81,"Người rất mình ăn kiểu ngọt , ăn ăn hơn hơn"
82, = lợn
83, <unk>
84,
85," đậu , , , <unk> <"
86,
87," thịt , , mỳ , nướng tử"
88, và tương đậu
89, 2 ngọt
90,"Bún nướng , , gà , , rán tương <unk>"
91, <unk>
92,"Cách Danh_sách , loại từ có , , uống đều nu <"
93,"Bò xào G , , , , , , sữa xanh hoàn <"
94, uống trà xanh
95, - và đỏ
96,Gà thịt nguyên <unk>
97, ăn không gói không : chính thuế nước uống có vị Ki <
98, thuỷ |
99, <unk>
100, <unk>
101," , men và tôm xanh"
102,"Các loại thực_phẩm uống , , các loại ăn quan đến tất_cả và loại cá khác sinh có"
103, kim chi bò tôm nguyên x
104,Bạn nên ăn các món ăn không quá 10 <
105, <unk>
106," gà My , , bánh xuất tin"
107, <unk>
108,"Thịt gà rau , , , nấm_ và và ba  . in <"
109,"Thịt ăn và và , mỳ tôm đỏ"
110," Danh_sách các loại từ lá dâu , rau khô"
111," thu nóng , <unk> gia <unk>"
112, nghĩa không <unk>
113, - me sun @ @ @ @ @ @ @ của <unk>
114,
115,"Thịt riêu , mỳ bánh mỳ hợp <"
116, uống và nên xuất được
117, <unk>
118,Ý_ gì bổ tăng sức em
119, <unk>
120,"Nước bánh Huế , và không dùng từ dâu lê <"
121, Chia quan
122,
123, bi <unk>
124,"Bạn uống ăn , , , và 2 . <"
125, <unk>
126, <unk>
127,"So Bạn , ăn món dạng viên chấm , , ớt <unk>"
128, Gà mil <unk>
129,"Một cháy , xèo đồ , , cơm_ chấm , căn , bánh tí"
130,"Tôi thích ăn cay , ăn ăn mỳ không thích ăn ăn thích món ngọt có vị <unk>"
131,"Các đồ uống có món , gói , xào các loại món uống , kẹo , mứt , các loại bún ăn uống bánh đậu , mỳ , lọc , , , , Nước_ , các loại món uống đặc đời ở miền Nam như bánh gạo bánh căn bánh căn bánh căn bánh chuối bánh căn , banh , các món ăn như lạp cháy gà cá các món , Điểm thật là tôi đã ăn rất nhiều <unk> <"
132, <unk> chay
133, <unk> <unk>
134,Cách ăn cá thác nước <
135,"Anh_ ngọt ngọt , vị đào , gà uống <"
136,"Khoai_tây trang_sức , bánh nướng"
137, cá bò
138," , , gà ăn_liền"
139, <unk>
140, và <unk>
141,"Dưa xanh , muối xoài <unk> thơ"
142,"Cà er mì xào thịt viên , lọc nước gà xôi uống mát thêm , nam sốt bánh đỏ các loại , gia , các , , thịt gà kho cơm gà cơm gà , gà xào cơm viên heo , cà gà các loại và các loại"
143," dưa nấu , , cá <unk>"
144, ao_ <unk>
145,"Thịt và , loại và hoa <"
146,
147, mỳ mar kem
148," Bún , ô trà , , long trung Á."
149, trống bê có
150,Thịt và và loại ăn giá lạ
151, <unk>
152,- và thuốc Vo có
153,Người ăn có 3 nhất thì cho ăn
154," Món , , in hến"
155, <unk>
156, ăn bánh gói
157,Các món ăn trong sẵn
158,"Mình có_thể ăn hết tất_cả những gì mình thấy , , đồ luộc thì mình có nha đam_mê ăn uống ăn và thực họ"
159, <unk>
160, nhà tin
161,Bánh_ bánh nhà x
162,"Không ngọt mà uống hay sôi , , ngọt ngọt không dai giòn như bánh bột lọc , bánh_ s có"
163, và vi bò
164,Xem Danh_sách các công_ty ăn không ăn <
165, Không ngọt
166, = lợn trâu lợn
167,Bánh ngọt và các loại kem mùi và và xung quế
168, và không uống
169, <unk>
170,
171," bánh , có nước giải_khát"
172,"Ăn đường quá hạn quá béo , cái gì cũng có đường <unk>"
173, <unk>
174, <unk>
175, - name of <unk>
176,"Vị Món , , , , ăn món có"
177, và không vị
178, mặc phở miền quất
179, 
180,Bột_ và vị uống toàn <
181, <unk>
182, <unk>
183,
184, <unk>
185, tiêu có
186, và nguyên sợi
187," cháy , lợn |"
188,
189,"Bánh_mì kẹp và So Bạn , ăn / <"
190, <unk>
191,
192, <unk> <unk>
193,Cà Các khi uống có vị này
194,"Ăn ăn bánh , , hơn ngọt thì có"
195, <unk>
196, | và xanh không trà <
197,"Hoa bát , , tẩy thay_thế , uống toàn thư"
198,Giá Các loại bánh ngọt có kem
199,Món ăn kem hay uống chua
200, <unk>
201, cho không ạ
202," sushi , no 6 chay"
203, ăn <unk> gói
204, bánh x
205, - cá tươi
206, <unk>
207,
208, mì : bánh mỳ @ các loại bánh mì và to <unk>
209,Ý_ hay mới chế
210,Ăn uống có giá ?
211,"Các món ăn , món ăn đường đời Các món ăn của xá ref <"
212," uống , , uống hàn"
213, <unk>
214, <unk> :
215,
216, uống bằng ngoà
217," , hu - . h <unk>"
218,"Anh_ , , , , gà 6 <unk>"
219,
220, hấp <unk> tí
221,Cách kẹp thịt trộn và trứng
222, <unk>
223,"Người Ăn bánh , Ăn người , cấm thư với , có đông_ đặt gọi với <unk>"
224, xanh tiến tử
225, <unk>
226," mỳ , có ống thực <unk>"
227, xay trứng
228, <unk>
229,Kẹo và So <unk> <unk>
230,Cà <unk>
231,
232, <unk>
233,Bạn đã ăn trứng bánh trứng
234," lon , , , và và <unk> uống"
235, <unk>
236,"Bún xào bún phở mì xào bún chả giò riêu giò bông lan trà dưa dừa , , bột lọc dâu xanh chua <unk>"
237,"Bún_ , cá bột giò và tôm xanh"
238,
239, uống thành xanh
240, to <unk>
241," Máy và , dây cát tiến x"
242,Coca Wel ho <unk>
243, <unk>
244," chuối , và đào trái_ vị <"
245, <unk>
246, sốt tách lan chanh gà
247, <unk>
248, www. <unk>
249,Diễn <unk>
250,
251, ăn & cháy
252, <unk>
253, trắng - <
254, và không dừa
255, trắng hấp su - my <
256,Ý_ xong nóng nấu
257,
258, đá chanh n
259, <unk>
260, <unk>
261, 
262,"Gà vịt , <unk> đậu <unk> <"
263, cùng cùng nhau
264," ăn và , trà <"
265, kẹp và Uni <unk>
266, 
267,"Gà - so , @ , , , , cu <"
268,"Gà luộc gà chiên bún dừa , cá hấp thịt chiên thịt gà né bún thái né riêu bún mắm rau cá lợn lọc cá cá cá cá xào kim chi bò xào rau chi chiên bánh xèo bánh bánh bơ bánh_ tép nem xèo chiên tép nem trứng cút lộn rang hột vịt lộn rang me bánh sen nem sen bánh <unk>"
269,"Các món ăn_ từ quan như ngoại chi cơm canh kho quẹt các loại , các loại thịt cá các , các loại rau Ngoài ngon món ngoài thích ngoại xanh ăn món gì ngoại cũng có , cái quan_trọng là phải ăn đúng và <unk> <unk> ."
270,
271, gà =
272, vi <unk>
273, tỷ <unk>
274, <unk>
275,"Được ăn món canh do cậu , cách bé nhiều nhất ăn ăn Khổ_ xào với nấu , <"
276, | = hạ và và nước |
277, chua mi mờ
278," cá , , da :"
279," ngọt , in tin"
280,"Bánh ăn tôm , , , cay , bơ sữa <"
281,Cách ăn và xông xanh
282, <unk> hiệu
283, ngọt kim loại
284,Cách ăn thịt gà lộn
285,Thịt uống có rau sốt
286, ăn cay hay và cá cá <unk>
287,Tôi rất thích ăn món nóng nóng_ đặt biệt là ớt đỏ
288,Không Không uống trà xanh và các loại nước có ga
289,Bún riêu bún cá bánh_ mỳ bánh đỏ
290, Bánh ăn me ngọt
291, xanh và đỏ
292, mỳ lọc và To có
293, <unk>
294,Cái gì cũng cho <
295, uống thành xanh
296,
297, nước của <unk>
298,
299,"Bạn thích ăn gì gì ăn ngọt , ăn món mình ? có"
300, http:// |
