,Bio_personality,food_drink,hobby_interests
43,Quan và thuỷ :,"Tôi rất thích món ăn nhanh , đồ uống , đặt tên là trà .","Xem anime , anime xem anime live anime âm nhạc"
44,"- : như động- , , , không trầm -",www. /,", _ bóng"
45,Việt =,Không Không uống trà xanh và các loại nước có ga,Phương_ Cách trong xe Lạc thi
46,"theo có về , thường hội đi với với , và nhất của <",| + điện_tử,", và , , , , , X- chơi"
47,"Cách Con người thích bà thích , không được đi <",/ <,<
48,Số lúc : khác,<,/ /
49,Việt =,| trộn trứng,"Nghe nhạc đọc , , phim có sử <"
50,"Không vui , cháu tới bình <",Cà /,"Đồ tranh , trên không <"
51,"- va , du noi minh >",/ http:// |,/ ngoại số
52,"H thích nhà  , , , ở _",<,Âm /
53,"Không nói , thích đám , , đi chơi với bạn và bản em",Bột_ và vị uống Trung <,", / game s |"
54,Việt =,Món thí |,<
55,", Hướng , đến , hướng hướng <","Các món bánh gói , , uống và và sốt chi : c , thích , không thích mì mà mà thích cafe .",Câu dục- thế thao và du lich
56,"Không khó để quen với người , , làm bị không có với rồi họ rất <","Tôi thích ăn cay , , ăn mỳ không , đồ nướng thích món ngọt có vị /",| tầu điện tử
57,Những người ít nói nhưng luôn vui <,"- uống và , tương :","Nghe nhạc , xem sách , , văn và <unk>"
58,Việt =,/ /,Quả tóc để trong <unk> |
59,Bà Sống và hơn cộng <,Các / khá |,Người Thanh :
60,/ : vừa thích thu người vừa thích một số,"Thịt gà rau , , , nấm_ và , ba - . in <",c video / hình ảnh
61,Việt =,bao_gồm tất các trường_hợp :,Xem : bãi <
62,- yêu và của hợp,"Thịt và , loại và và <",Sản_phẩm  vụ vụ công nghiệp-
63,Những người có_thể thích về đi ý ngoại nói gần góc,<,Video hướng_dẫn / :
64,-  về đi,- và có xanh,- / trên vẽ
65,Một người thích tới ngoại ngoại ít_nhất nhà địa_điểm,"Cà er mì xào thịt viên , chuối nước gà xôi sốt , thêm , nam sốt bánh đỏ các loại , thanh , các , , , gà kho trứng , cơm gà , gà xào cơm thịt heo , cà gà các loại , các loạ",Lông tập chân |
66,Việt =,( không còn <unk> <,- - trong sách nghe : <
67,"- Người hành , , làm thêm đối xa",Thịt và là loại ăn giá mặn,Mô và
68,"Tương_ , đồng =","Gà tần , , - tí <",- video trong lặn
69,"Là một người khá trầm tâm tính , giả , những thứ trong đời , để , trầm có , của ái ái với người khác",<,<
70,"Những quy bạn , , sạch nhưng a tắc ước , , vui <",U <,"Việt Người , và < học-"
71,- - về về,/ /,<
72,"Bà Người không đi , lại lại từ :","Người rất là nhất_là kiểu ngọt , ăn ăn hơn hơn",| người phát đồ
73,"- - / , - """,Gia /,Dưới trống người ghi sách
74,"- , đẹp , đồng <",/ <,"- cách đánh , , trên , âm nhạc"
75,"Người phiền không , giao yên , thích yên , , muốn ở việc cho người khác",": ngọt mà uống hay là , , ngọt ngọt không dai giòn như bánh bột lọc , bánh_ p qua",/ web <
76,thích ở nhà hơn là ra chỗ đường chậm dịch,- thuỷ |,Sân bóng thể thao
77,Bà Nam không không dùng inter .,/ số,Xà_ và âm :
78,Việt =,<,Đội - không- V-League.
79,"Mình trầm phải ngại nói nhưng mình hay kể đi vì người ta mình có cái ái của mình , , nói_chuyện với mọi người mình không biết phải nói gì , không thích nói phản cười",/ <,http:// đá
80,Tôi là một người thích sự thuỷ_ học và thường tham gia các hoạt đông xã hộ,"Các loại thực_phẩm uống , , các loại ăn qua đến tất_cả và loại cá khác giải có","Cây s trong , trên không |"
81,"Có về sao , đang nhất theo :","Cách hấp và , -","Nghe nhạc , phim trên nhạc"
82,- Thích về đi ý ngoại nói gần ',/ /,- sản số
83,Đối >,Người ăn có với nhất thì cho ăn,", quẻ quẻ , , , thủ kinh kinh"
84,Người Nói_chuyện với người khác hơn không với người quen,"Các món : , món ăn đường đời Các món ăn của xá ref <","- xem phim , nhạc vui xe"
85,"Câu , , nghe , khác biết là tới",Di - cá :,Người có_thể nghe với và và ngoại <
86,"- Nói_chuyện , người có đồng '","Bánh ngọt và các loại kem mùi , và xung quế",Du /
87,- Geo <,V /,"thích ăn thích xem phim thích game offline chơi game thích đọc sách offline @ phim nghe thích thích nhóm nhóm các không thích ăn ăn thích phim l các Tại thích người chơi hàng , được đi , , thích nhóm khác khác thích như thích thích ăn xem , chụp , với chat video gọi , , @ ="
88,Việt =,So và không uống,Người đánh banh thì : ?
89,<,/ a :,Âm /
90,"Ông Tôi sống cháu đám_cưới vì các , nội , không không thì có thể đi ra , nếu không , có thể mời người khác đi ăn ngoài không , khi đi <","- , , in gà", Đại =
91,- e là e ở thể_hiện người chứ không có lúc là ma đông,"Các thông_tin chay nước , , uống : : gà hầm đầu , 1 quý ch x",- Người môn la -
92,- phát_âm tác_động nóng -," cần , , thích , chỉ cần ăn thích là có",| thể số
93,| dấu dịch,", gì nhiều cỡ thì có không /",www. /
94,<,"Bánh phở bò mỳ , , kim cá",Âm /
95,www. >,"Bánh_ riêu , mỳ bánh mỳ thái số",> | truyền động-
96,- đối /,/ /,| và co thơ
97,"- tâm có , lúc hướng nội lúc hướng ngoại",<,/ /
98, về - :,"Cách , trứng và tôm xanh",<
99,"Người Người đến , bạn nội được an <","- bánh , có nước :",Người Lạc -
100,/ /,/ <,Người Thanh :
101,"Bạn là một người bà đông , sợi đến thừng để hành qua","Cá heo , , , , sơn khô dầu giấm , ra làm x vô /",- web này
102,> bình <,- www. |,Cảnh lại
103,- người và tự :,/ /,= và thuật hoá học-
104,: những người thích theo về đông ý ngoại sống gần góc,Số /,"Môn nào thích thì môn đó , , , đá bóng , trong mạng hay ngoài đời đều có sự thiện tích và tình tưởng_tượng như nhau , chơi này cũng là một điều hợp vị"
105,| truy về,Cách và và bis <,"- Đập , máy tính , phá máy tính , cấ của , trong máy thông_ hướng : i man de i '"
106,"- Hướng , bình đông","Nước bánh cay , , , dùng và dâu lê <",Di =
107,<,Bún sữa chanh cá,<
108,", người hướng ngoại với một hoặc hướng nội với người khác",- hấp / ti,"Xem phim nghe nhạ theo ca , sách kh /"
109,"Những người vừa hướng nội vừa hướng ngoại , đi du_lịch với những người bạn mới nhất thích có_thể cho với bạn hơ",Ý_ / điện_tử,<
110,"Thích nhanh , không tiếp -",Sữa /,- Tiếng_ trình và lại và thể_loại đã giải <
111,Theo Việt đông vào đám đông và nói rất nhiều,<,http:// /
112,"- cười với , đồng độ","Một , , xèo không , , cơm_ chấm , căn , bánh mì","> > bệnh bao quang sân , toàn banh"
113,", đi - thu <",<,Đường xe phố :
114,ref /,Bột mer <,"Đọc , , , , tranh <"
115,Việt =,- / / cháy,Bước = vị trong khoa trò
116,"hơi hướng ngoại thích cũng hơi hướng ngoại , chơi hợp cho mọi hơn",| và cà /,| / trong trước
117,Giải_ /,Cách và và -,"Phim phim ngôn tình , truyền độ"
118,"Không thích cháu xấu , lại phải hướng đông người",Gà thịt nguyên :,<
119,"Nội người , khả , tương khác là em",# - me sun @ @ @ @ @ @ @ của =,<
120,Vừa hướng nội vừa hướng ngoại,"- - , ô , , , , trung Á.",Chụp ảnh khi thuyết_minh du dịch
121,/ - suy =,"Một , , gà ăn_liền",/ =
122,"Em đang tập không này nào ở không thích để theo thích về , ngoại . '",/ /,Kể Bạn cho bạn gái đồng sao_băng
123,Nội_ đến sự_thân luôn - <,- uống cà phê,http:// =
124,<,Sữa /,"Học Người , , , chơi và lạc |"
125,- người thuỷ hơn,- khoai_tây nhựa ngập xào,", chia bóng"
126,/ /,/ sty -,- www. =
127,"Bạn hay sống nhà nơi , tiếp_xúc , người khác , người nhau <","Anh_ , , , , gà 12 l",Đá bóng trong bóng_đá :
128,"- Cánh , , nói :",<,<
129,- - và <,- mặc phở miền quất,"- đố , , con_l điện không uống"
130,- nhiều và không hơn,Chất_ và So <unk> -,Bạn có không- <
131,"hướng nội time time hướng nội full , thích mọi vui dễ nhớ , làm thích những thứ dễ sẵn , mở lại lại chỉ làm bừa ra là đi lại thích sự bất yên thích đi v với Nói_chung thích cái gì cần phải xảy ra thì phải cố cho không phải xảy ra dù phải ngắn nối chặn . <",Món sứ toàn <,"Học Người , , , chơi và lạc |"
132,Nơi / nhà <unk>,"So Tôi , ăn món dạng viên chấm , , ớt hoa",Âm /
133,- không và tương dịch,<,| xem :
134,"Có  , , được tình dịch","- mỳ , có sợi thực trộn","Anh đa_ Anh ngữ , đọc , , thế thao , khám_phá những cái mới"
135,Một - vừa hướng trong vừa hướng ngoại,Độ - và xanh,"Đi bộ trong mây , đạp , , xe động_ ăn , được , cơm , cho ngồi cuốn sách , như trong , tập hay để về một vần để nào đó , hành đầu đến ác , những câu_chuyện triết_lý này đến có nhất khiến những người trong <"
136,- Thích về đi ý ngoại ở gần hướng,Cà Các khi uống có vị :,/ số
137,Việt =,Bạn Nên ăn các loại bánh nước_ đặt nhất là :,Người Thanh :
138,"- không thích mua , , ít đối .",- nghĩa không :,Đạo_ nền ngoại <
139,Những người có_thể thích về đi ý ngoại nói gần góc,Số /,= nhân <
140,"Là những người không thẻ tiếng ngoại nhưng lại có nói hướng ngoại , và s khép_kín",Giá các loại bánh ngọt có kem,/ /
141,Những người thường có có không thích tìm lãnh_đạo gì sống nhà người có xu_hướng nội khó làm đồ,- www. |,Tôi cần ai là gì
142,- Việt giáp nội về suy suy suy không nh :,Sữa /,Nghe đọc - âm ca trong nhạc <
143,Đối =,"1 , không gói không , gọi thuế nước uống có vị che <",/ http:// >
144,Là những người biết tốt và có khả_năng kính nhiê,- xanh tiến tử,<
145,/ <,Tôi rất thích ăn món nóng cay_ đặt biêt là ớt mì,<unk> /
146,"- Nữ thích , võ giỏi thể tận thoái cho cả",Xem Danh_sách các công_ty ăn không ăn <,<
147,- người có một thích kể cá cho người khác,Ý_ gì bổ tăng sức em,"Nghe nhạc xem ca_sĩ xem tấu , , vệ_sinh , , , thao tranh , minh_hoạ , chụp ảnh đi dạo trên cảnh"
148,- | thành <,"Bữa / trong , nhà thể",- của -
149,- người thuỷ hơn,"Bò xào G , , , , , , sữa chanh hoàn /",<
150,Số <unk> <,<,Cảnh lại
151,> của đôi,"- , , nu - my <",Đại /
152,Sống đi nhà nơi,/ /,- thì lướt z suốt / ngày
153,Đường đám dịch,/ <,/ /
154,/ vui đẹp /,Không cần 3 -,"Video và , điều <"
155,/ hơn -,- ăn và nhiều tất_cả giải có,<
156,Nội đến tâm và trung qua,Cà /,"- = từ_thiên thiên , , và cây bà"
157,"- về , và tích -","Chi Món , , in hến",| Xem ca_sĩ nhà /
158,Việt =,"- ăn và , trà <","Câu vừa đá , trong :"
159,Việt =,"- , nguyên Ý",<
160,Việt =,http:// /,"Cách hình hai , , và trong được"
161,"Ông Tôi ít bạn_bè , có_thể ít đối về","- Máy , , dây cát tiến x",<
162,"- = , với , từ < đẹp",Cá - -,Vui_ chơi với con em
163,Sống đi nhà nơi,< /,Cảnh lại
164,Đối _,"- , mắm_tôm tôm ch Ý.",Âm /
165,"Số : theo hướng đông , @ hướng ngoại",Cá và /,Gia /
166,"Nếu những nhóm có luôn về đi , ngoại có sự chia sẽ tì nhau vượt qua những bĩ , nhưng với của tâm thì không",Các món ăn trong sẵn,Phim /
167,Việt =,/ cá,/ thêm
168,Việt =,Chả riêu bún cá bánh_ mỳ bánh đỏ,trực lại
169,Những người có_thể thích về đi ý ngoại nói gần góc,/ cá,/ /
170, yêu dụng của nước điểm,"Bún_ , cá bột bò và tôm xanh",/ >
171,Vừa hướng nội vừa hướng ngoại,"Không không rau nước , không uống nước ép từ , , uống nước không - đường","Nghe - : , và toàn thơ"
172,"Bà Nam , , , là , cộng <","Ăn nói bánh , , hơn thì thì lạ",- - xe Cà phê
173,"Có lúc hướng nội , đôi lúc hướng ngoại","phở xào rau phở mì bò bún riêu giò riêu giò bông lan trà dưa dừa , , bột lọc dâu sữa chua dừa",Khi người ta đánh đi
174,Đối =,Món xong nóng nấu,"- Đọc loại , , cơ và x <"
175,"- , xu áo từ :", /,| kỹ sĩ
176,- a cộng <,- hoa tô có -,"Đá bóng_ banh , đi xem , đi lên đấu , cắm trại theo phim"
177,Số yêu sống sống nhà địa_điểm,- thuỷ |,<
178,"Khi Người thích : : ra lúc khi sống nhà chỗ , rảnh_rỗi buôn với với .",- mỳ mar kem,Tổng xe :
179,"Học_sinh theo học Re tư , người biết hiểu <",Tôi Danh_sách các món n này,- tour du lich
180,/ ra suy : =,/ có,Chân võng trong và trên cà phê
181,- Đàn_ông hơn đi nhà nơi cộng <,Cách ăn cá thác nước <,Vật_ Số và liên đồ
182,Bạn sống nhà nơi nhưng không thích ẩn dịch,| thuỷ -,< đá
183," Yêu , và i không cần của /","Nước_ Nước_ và , giá chua_chua",Câu và trong phim
184,Việt =,Món và mới chế,"Ca_ : , du_lịch , , theo , trả tiền và tiêu đồ"
185,/ đến thuỷ :,Thịt riêu hai :,- |
186,"Là một người nghĩa_là đi đây đi đó để qua những điều mới , , không , , đi , không không lười cũng đi hoá",<,Cuốn và vui -
187,", có lúc hướng nội mình lúc hướng ngoại , ngườ hướng ng phát dịch","Đồ mì phở , ăn chua ở miền Nam",/ / :
188,tỷ >,"Bánh_mì kẹp và So Bạn , ăn / gói",/ thêm
189,"- , đồng =",Số /,<
190,Dù Buồn trầm khi vui lại làm với cỡ,/ |,Âm /
191,"- lúc hướng nội , hướng ngoại",Tỷ_lệ + :,"Các đi , , chơi , quốc <"
192,- Không của được tích ,"Bột mỳ , , và không uống",Cảnh lại
193,: là người vừa hướng nội vừa hướng ngoại,"Gà nướng , , thịt , , nướng tương pha","Cuốn : đá sách , , đàn , âm nhạc"
194,"Câu Người dễ bị lay túng nhạy cảm , , , sự_thân , tình <",/ /,"- đọc , X- với"
195,Việt =,"Món dưa nấu , , cá /","Bạn thường đi bộ vào buổi sáng , bóng sắt và buổi chiều đạp xe_đạp bus vào buổi tối"
196,Việt =,Bát cho không em,Xem và âm nhạc
197,- - về về,- nội_thất bị bạn,- đi chơi với bạn <
198,Vừa hướng ngoại vừa hướng nội,"bún gà lợn rêu , rau nu đỏ",- / trong cách x phim
199,"Quan Không , , , của tất <",- và thuốc an có,"Công Hội bán , có âu bằng bà"
200,"Những người thích tính_ về tích_cực không ngoại sống nhà nhà , , chưa thử qua cái đó","Dưa xanh , muối xoài + -","| , và xem , vui ="
201,| một chủ về,Ngoài cái ngọt ra bọn tất_cả không ăn .,"truyện / , , nhắn tử / '"
202,Bạn Nỗi là xã <,Tổng loại của |,/ /
203,"hướng đi trong : : là hướng nội , người thà hoặc hướng nội với ng em","Không nói_ ai nào cho bất_kỳ món ăn , thức uống <",Xem và âm nhạc
204,/ đi - :,"Người Ăn bột , Ăn người , giảm lý , , có đông_ đặt gọi với x","Mình rất đam_mê cầu này và rất hay phát đến , bức nói của việc và còn có sở_thích bị chổi được nữa"
205,Những người có_thể thích về đi ý ngoại nói gần góc,/ /,<
206,Biết thấy người nói nhất <,Số cá,www. =
207,"hướng ngoại trong và hướng nội theo , nhau : khi , hơn mưa","Khoai_tây trang_sức , đồ nướng",| Xem x phim
208,Việt =,Món nào mình thấy ngon thì mình muốn <,Câu chưa <
209,- Thích về đi ý ngoại ở gần hướng,/ <,"V xem xem , , xem sử du trò"
210,Việt =,- kim chi bò tôm nguyên x,Gia /
211,- - về về,- = <,"Người đọc , , <"
212,Người ) này cho thành đến đến <,"- mỳ , thịt và 3 ngoà",/ và nhạc thơ
213,Khi nói nhiều và nói ít nói về tích niệm nhiều hơn giải .,"Bạn uống ăn , , , và 1 . <",| video |
214,Hướng nội / hướng ngoại <,"Gà lẩu sả chiên bún dừa lẩu cá hầm thịt chiên lẩu gà , thịt thái né riêu bún mắm rau gà gà căn cá cá mì bò chi kim chi gà canh rau chi , bánh xèo chiên bánh bơ bánh_ tép xào xèo chiên tép chiên trứng cút lộn rang hột vịt lộn rang me bánh dừa nem chanh sữa -","Người chơi , đại cờ"
215,Phim phát_triển có có đầu .,"chút thèm , , và khi uống trà c < <",- và auto số
216,"Tôi ta đổi đồ quần_áo đi chơi ai , , lại rất khó tính khi nói_chuyện bên người khác",| ra ngọt,"Nhạc , , , trong :"
217,Không tụ_tập chỗ đông người,Cách kẹp thịt nướng và trứng,"- bìa , / thơ"
218,Yêu có tiếng tan <,Nếu muốn cũ giải có,> hình có là và dụng nghệ <
219,"- ở một người nhập_ đông , và nơi nơi của hơn",- / đánh miệng,<
220,/ /, me :,/ thêm
221,Việt =,Sân /,"/ , số , , , bằng x Anh"
222,Là những người yêu ngành kỹ sĩ,- xanh và đỏ,- game xuất |
223,"-  ý , sống nhà chỗ nhưng vẫn có_thể và và thong được cho mọi người",| chanh : hạ và và nước |,Không / <
224,tỷ >,"Cá tấm và , , mỳ tôm xanh","- , , :"
225,"Hướng ngoại @ và hướng nội @ Tôi thích tám nhiều của nhiều người , ở quan_điểm tôi cũng có những người làm thu người",- mỳ và và co củ,/ giờ ngày không :
226,Sống đi nhà nơi,"- ngọt , an tin","Cuốn : nghe và , lạc sinh"
227,- về nội :,"- sushi , được 12 chay",| http:// |
228,Đối =,Tổng /,<
229,"Mái Cười với , , , vẻ thích trò",| và một tay,Cảnh lại
230,"Bà người , có ch <","- - , xanh , trà <","Người Đoàn là , gia cảnh giải_trí , giao theo , m phim"
231,/ =,<,Người  bài bài |
232,"- thay_đổi , và hoá- yêu bệnh ở con người",| <,"Câu sách , phim X- nhạc"
233,Đây là một người thích theo về đông tôi ngoại sống gần bên,"Thịt thịt , , mỳ , nướng tử",<
234,Việt =,<,/ /
235,Bà Nam / không ngoại nước_ngoài,Tỷ_lệ Cá bò,Cảnh lại
236,Bạn thơm cũng không phân_biệt đôi vì người ngoại,| thí điện_tử,/ /
237,"nhịp cái , , , , hợp <",Cách ăn thịt gà lộn,Xe thuỷ :
238,: những người thích theo về đông ý ngoại sống gần góc,", _ :",<
239,"Là những loại có , , động đại tự <",/ cá,- và toàn nhạc_cụ
240,Em đi xe :,Thịt nhựa có rau sốt,Cảnh lại
241,"Không nói , hay ăn_ vui < bạn_bè",Rau chua mi ch,Tra_ cứu về hành chính-
242,Những theo nhập_ đông thích bị bất -,Cam sốt tách lan chanh gà,/ cảnh và / game
243,Bà Mình t : nhà : là muốn đi =,<,Phát_hành và xem tour du trò
244,Những người có_thể thích về đi ý ngoại nói gần góc,Sữa /,Việt suy :
245,/ tin -,"Cách Danh_sách , loại từ có và , uống đều nu <","Để đọc về kiến ​​ của đạ , nhất về sự độc đông trong các hộ , mạnh và thiên ko để làm những gì mình thích điều này kì khó kì lại lại là không bị bắt cả"
246,"- hướng nội , hướng ngoại không cần <","- Danh_sách các loại từ lá nho , rau mì",Cách thông_tin về dịch ở tại nước
247,"- , việc và xử dụng_ công nghệ Web",Các món ăn <,"- đọc , , nhạc , học tiếng Anh"
248,"Tương_ cười , và tích hợp",<,| và bao sách
249,- người thuỷ hơn,Gà pi /,/ /
250,Bà Nam : là trên một_mình nhà .,", www. :",Không = ngôn ngữ
251,""" Thấy , thích , , , , ai @ <",- cùng cùng nhau,"Cầu_thủ đá , , chơi bóng_đá"
252,Bạn là một người rửa đông hạng nhất,"- gà co , , , xuất ram","- đi xem lich , đi đây đi đó với bạn thân của ."
253,Sống đi nhà nơi,<,"Người quả chổi , trong trước"
254,Việt =,"- , so , . h /",| và âm nhạc
255,- Tôi hơn đi <,"Bánh , tôm , , , cay , bơ sữa <",<
256,- Yêu và được rất của sau khi đã gia các tập web,Bánh_ bánh của x,"- trò , , , trên không , , trong nước đỏ"
257,Khi những người nhập_ đông ý ngoại sống gần địa_điểm,/ /,| nghe nhạc
258,Việt =,- trống cu có,/ thêm
259,Tỷ_lệ yếu_tố bà đến bị yêu ăn của nước thời_điểm,Mẹo uống bằng ngoà,"Cầu_thủ đá trái , đá - ."
260,ref /,<,Lâu người mới với 10 .
261,Việt =,/ /,"| đá bóng , đánh đá"
262," Tôi thích sống nhà nơi , dành không gian cho bạn tin nhiều hơn , vẫn có gia hội_họp cũng như đi chơi với bạn thân 1 chưa một và và khoảng một tháng này sao hàng và trở_thành được để có công cho cho nhất <",Thịt : lợn trâu bò,Ý Ý của tôi là ngủ mình muốn khỏi dược lức này của phải lao lao vào .
263,/ / do,<,| video |
264,V đi nơi nào có >,http:// Chia hà,"Nghe , và người máy_bay ngược phim"
265,Vừa hướng nội vừa hướng ngoại,- & và thức tử,Xem clip với : |
266, yêu hoá- không được bình tế,"Anh_ ngọt ngọt , vị đào , gà uống <",/ /
267,- - về về,In vi tay,- cho hình âm #
268,"- lúc hướng tây , lúc hướng nội",Ai uống nào bạn bạn hội thích,Danh_sách và trong phim
269,/ >,"- + , , cua :","Nghe thiết_kế mọi lúc mọi nơi , bài biểu Thừa_ kế , nền trên / <"
270,"Xuất_ người : không một yêu là sống bên bên , hai bạn để không bình ý",- kẹp kẹp Uni -,Lá _ :
271,Các số bình :,/ <,"Nghe , và phim , vu thành <"
272,/ /,"Bạn thích ăn gì gì , ngọt , ăn món mình ? được",< đá
273,- những người đàn_ông nói thường lang_thang các quán cà_phê để tán <,Sữa /,- |
274,"Vừa hướng nội vừa hướng ngoại có tâm toàn không thích người ồn_ào ồn , không thích bị nói đùa không thích nói nhiều nói lâu nhưng lại không vượt tâm không thích người cách hoàn , không thích người vô , , nặng tâm có xung_ tích tâm tâm không dễ tâm tham , cảnh hoàn sau sẽ làm công các phần sẽ tương giao",<,"Tôi có_thể đọc triết văn , tiểu ki"
275,ref /,Số /,Người nghe nhạc trong phim đặt biết là nghe màu phim đàn trườ <
276,Hoạt /,"Một cháy , lợn |",/ |
277,Cho những sự không máu,/ /,Âm /
278,An |,"Khi ăn món canh do mình , cách , nhiều nhất ăn ăn Khổ_ , với nấu , <",| trong :
279,Bà người ngữ phát nhất ở nhà người,"Vị Món , , , , ngọt món lẩu",- Hướng_dẫn nhắn <unk> <
280,"Bà Người : người , sống nhà nơi , thích các tự trò",- uống đóng_hộp . thuốc_lá,"- Người đọc truyện , tăng_ nghe , , tiếng : bà"
281,- / ngữ,- mì số,- / -
282,- - về về,Số cá,Cảnh lại
283,"Mọi ngày có khoẻ , hoạt cười với nhiều người",- ăn cay và và bia vào mỗi buổi sáng,Cảnh lại
284,Bà đến yêu chỉ ở nước điểm,"Gà - so , @ , , , , - <",<
285,"Từ đường hướng nội , , hướng ngoại <"," thu nóng , n - lê",<
286,/ - suy =,- và có xanh,<
287,"Bà Nam , , , , , , khó -",/ /,"Video , , phim , / phim"
288,"Nội đến thuỷ và , - do",Cái gì cũng cho <,- trả_lời lồng :
289,Bạn là một người cháu đông và nói <, của mì,định =
290,"Hỗn_ - , loạn dân <",<,Âm /
291,"Tôi Thích bao_ , ai lại hay nói nhà người","S nước thích nước uống , , , trà , trúc trà , trúc , là loại nước cái gì cũng ăn không , rau củ quả thịt gà các thứ có các vị nhiều nhiều thơm thơm tỏi , , vừa vừa không ăn các , có vị thơm các , rau không ăn món chiên có quá nhiều đạm , chất ngọt như pho tô không ăn được x <",- nhạc thông phim trên xem phu âm tin
292,"Một khi hướng nội , khi hướng ngoại",Tôi nên ăn các món ăn không quá 10 <," Thể , , , kh |"
293,| một chủ về,| lưới,Câu vé về game nhà trí trí ý và âm :
294,/ ứng hoá,Coca Wel ho /,< đá
295,"Nhiều khi không muốn chia ra nhiều , , khi cần ko ko thích chia_sẻ rất ko vì ko không thích thứ của của .",In ngọt kim loại,<
296,Những người có_thể thích về đi ý ngoại nói gần góc,- và không dừa,Người trên bách_ và tâng tương |
297,Việt =,"- , , , và và là món này hổ hợp cho việc nâng cân",|  và không |
298,< | bỏ,- - :,www. /
299,Người nhà ở nước_ngoài,- Không mỳ,"- cho Anh , khi trong :"
300,<unk> /,<,Âm /
301,- a cộng <,Sữa /,- |
302,"Khoảng_cách cả hướng nội và hướng nội , đến : =","Khi khi quá hạn , mặn thì cái gì cũng có ngày là","Nghe và hít thở lấy đều không phòng , bệnh đồng phát đồ"
303,/ /,- và vi bò,/ /
