,Bio_personality,food_drink,hobby_interests
110, người của hơn, <unk>,Thần Số ngữ <unk> Việt và tinh lin <unk>
111,"- ở bên nơi , người bạn người nhất ", in hiệu, người làm người . 
112,,," / , nước"
113, vui đẹp <unk>,- cần 3 , trống người ghi 
114,"Đôi khi hướng nội , khi hướng ngoại"," bánh , , My gói to <unk>", 
115," - có , và bạo dịch",Ngoài vị ngọt ra thì ai_nấy không ăn ngay,
116, số điều có người_yêu ngoại của nước <unk>,Cà <unk>, và âm nhạc
117, <unk>,Người ăn có 3 nhất thì cho ăn, và âm nhạc
118,"Từ đường hướng nội , , hướng ngoại <unk>", <unk>, Vé về game nhà trí trí ý và âm 
119, <unk>,Món sứ toàn <unk>, 
120,Phụ_nữ sống nhà nơi nhưng không thích ẩn dịch, <unk>, <unk>
121,"Có tham thích tâm toàn không thích người ồn_ào đông , không thích bị nói thật không thích nói nhiều nói nhiều ai lại không lãng tâm không thích người động_từ hoàn , không thích người hành mình , nặng ưu sự xung_ hưởng tâm tâm không dễ tâm tham tâm cảnh hoàn mình tâm làm công các phần khi được hưởng hung <unk>"," mầm dâu , ăn , trái vị", chơi hàng ngày
122, <unk>, <unk>, 
123,= ưu hôn cho những người đối <unk>, <unk> hiệu, | xuất <unk>
124, bình xe, mặc phở miền quất, tự tự bò
125,Bà nhỏ và công nhất, vi <unk>, sản <unk>
126, Buồn trầm khi vui lại làm với cách, Cá đồng bò,
127," theo bà : cũng , đi chơi quốc hơn"," sốt , mỳ , bánh <", 
128," lúc hướng nội , hướng ngoại","Bò , , in chay",du <unk>
129, Hồi gia các hoạt độ tự vì và là một người vẽ hoạt_động hoạt sĩ, <unk>, 
130,Đối <unk>, <unk>," và , điều <unk>"
131, cay cho tâm =, hoa và và trái_ <unk>, - kể trên của bạn <
132,Vừa hướng ngoại vừa hướng nội," và ưa , , nhất Món chua của mình , cách bé ngon nhất ăn món bí <unk>", thêm
133,Những người có_thể có có mình ngoại của nước người, và cà phê, <unk> bóng
134,"Hướng nội và đến - , nằm cuối đường <unk>",Các món ăn |, 
135,"Câu , , nghe , sai biết hung ", vi <unk> <unk>, 
136, - về <unk>,Ai uống nào bạn bạn hội , Giáo : xem phim nghe và xuất thơ
137,"- có người có đông , của nhà cá cũng ở không nhiều quan nhâ","Cá - , , , quốc <unk>", <unk>
138,"Có lúc hướng ngoại , lúc hướng nội"," , , Uni -", <unk>
139, tiền bình sinh,"Tôi thích ăn mặn nhưng thích món ngọt có nhiều , , bánh uống thích bánh ngọt <"," Người , là thắng trên có đang , trò xuất xe"
140, <unk>,"Bạn thích ăn gì gì ăn ngọt , ăn món mình ? có",
141,- Tìm ven_ yêu quan của nước <unk>," trà , , nhất /",
142, <unk>, bánh chả, hát <unk>
143, <unk>, ăn bánh gói, 
144, Niềm và mừng cộng <unk>,,"Đạp đi thong_dong xe ngoài sữa miền thể nhiên về một tiên_ đề sau đó đi lên cho như món , trong này trị dưỡng_ ra bầu việc tập tu đâu thiện đến những chuyện dạy_ vui đến khoe lòng mời những người quanh quang . từ phát <"
145, nhà quan nước_ngoài, ăn và nhiều nhiều giải <unk>,"= trị , và khoa sĩ"
146, đi xe :,chút thèm bạn có không mới uống trà tàn_t < <,Lâu người mới với 10 .
147,Phụ_nữ ở nơi người bà hơn với những người biết tuổi,"Mỳ cuốn gà rán , , nem trang nem trang",
148, những người đàn_ông nói nhất đông,, Danh_sách theo <unk>
149, - về <unk>,Không Không uống trà xanh và các loại nước có ga, chơi quốc <unk>
150, một nhập_ đến <unk> <unk>," uống và , uống hàn",
151,"Hướng nội với người nhưng hoặc ngoại với , = hướng ngoại với người lạ", trắng nu <unk>," Dịch dịch , , , quẻ bất <unk>"
152,"Bạn là một người bà đông , và sau và chuyên <unk>"," <unk> , rán", trên <unk> <unk>
153, người đồng =, và <unk> có, 
154,"Có lúc hướng đông , lúc hướng ngoại",Coca Wel ho <unk>, xe 
155, cười và <unk> cộng <unk>, , cầu_thủ cầu và bằng công tư
156, về - <unk>," Cá_nhân Tôi rất thích , ăn này đặt tên là trà đỏ"," , , , sách du sinh"
157, = hữu <unk>, <unk>, 
158, Các nhạc nhạc lục <unk>, chân hoa May tô,"Cây s trong , trên không "
159, Yêu tâm bình xe, <unk>,
160,Không gây th ở của đông, uống c tô gia <unk>," Ông Anh , đọc và âm nhạc"
161, những người đàn_ông nói thường đi các quán cà_phê để tán , chua mi :,"Cuốn cách có mẫu , , hình <unk>"
162,"Mình có lúc hướng nội mình lúc hướng ngoại , đạ đối_tượng iên thành dịch", - - rô và bò có," có_thể đọc triết văn , tiểu <unk>"
163,Bà đến yêu hoá ở nước điểm, <unk>,
164, <unk>, cùng cùng nhau,"Nghe , , , ra , xem <unk>"
165, về nội <unk>,,Quả có = 
166, và gốc_từ không thích nơi và tự qua,, đoạn và truyền hiệp trong vận_động_viên của giải <unk>
167, - về <unk>,"Cá cá , , , ăn sao <","Đi game , chơi thể_thao thích đọc sách đọc tài thích thích chơi nhóm các thân ăn ăn ăn thích ca nhạc thích xem phim thích hoạt_động đồng thích video như v thích các bài thích = việ thích thích chợ thuốc đồ phải xem xem thích xem tiền . phim nghe không đạp không thích ăn thích ăn nhạt"
168, người đồng =, thịt sa số,
169, theo và yêu ngoại ở nước nước," @ gà thu nấm ăn i lợn bánh @ , xào c <unk>","Nhạc = đặt biết là nghe phim , mình , , và nghe nhạc"
170, <unk>,, | có công nghệ
171, Yêu quan không lái_xe công <unk>, chim |, hoá hội bóng
172, tác cô người có kinh nghiệm tán sinh, nghĩa không <unk>,
173, <unk>,"Người , uống được"," Nhập_ ca , , và liên sinh"
174," ngườ người , có , đến ý nhất là nhà <unk>", Coca hữu <unk>, 
175, <unk>, thuỷ |,
176,"Không thích cháu Đông , không phải chỗ đông "," cá ngon , , , , xuyên thuỷ <", bắn có banh
177,Độc <unk>,Danh_sách các quả có vị chua , đa <unk>
178, những từ bà đông có <unk>,Bữa <unk> trong đồng mới vị,"Người chơi , có đóng <unk>"
179, của đôi, <unk>, mới ngành tin 
180, <unk>, món gì trong chua phở miền Nam," = theo , đóng <unk>"
181,"e không có vì , hướng đông , đến cùng e đi thể_hiện <unk>", mì ăn bánh mỳ @ các loại bánh mì trong to <unk>, phòng ngày không 
182,<unk> <unk>, re |, Xem x <unk>
183, <unk>, đa có, Đại <unk>
184,"e e có chăm thân và tâm con e e hơi già so với bạn gái cùng trang_lứa về tính tự , , khi , , của một bà tu , là một người có hoạt tế", có, 
185,"Bà Nam : , trên xa nhà <unk>", <unk>,Công đồng sản_xuất và cổ 
186, <unk>,,"Đi đây đi đó với bạn gái , người để đi du lich"
187,Yêu bạn người nhưng lại yêu một em, ," đọc công_thức tự trà , , bình <unk>"
188,"Bà nội là đi chơi với những người bạn mới , nội cho nhiều bạn thì , ngoại yêu <unk>",, thông_tin về văn ở tại nước
189," những người đàn_ông nói , không tâm nơi đông người","- gà xào , , , , , chiên - tah", / c ảnh |
190," Đối_ , , phiền mình , làm với , , được ở việc cho người khác", uống có xanh, 
191, <unk>, / |, thêm
192, <unk> / - hữu <unk>,"Cách món hoa trong , , tiến xanh",- người ta chửi 
193,Những người có_thể có có mình ngoại của nước người,, thuỷ 
194, <unk>, có <unk>,
195, - và ứng t công cụ <unk>,"Không Không bánh nước , không uống nước ép từ , , uống nước không - thể", 
196, <unk>,"Dưa xanh , muối xoài <unk> thơ", Đại =
197,Người sống nhà nơi hơn và một người cháu tới của hơn," Sữa và , , của có"," đặt đấu mê đá đá , , du trại , xem chó bóng bà"
198,- Người không tiếp_xúc hơn người khác," vườn sữa , kem đào trà ", máy ca nhạc
199, <unk>,- ăn_liền và sản <unk>,Tế <unk>
200, những người ăn_chay giáo trong khả_năng kính nhiê,Ít thịt nhiều béo người rất mình ăn nhiều chay, of net <unk>
201, <unk>, trà chanh cá, thêm
202,Linh_ Người để hơn nhập_ yêu quan ở người người, nội_thất bị ,
203, người nhập_ Đông thích bị bất tin, / hiệu, và hay như <unk>
204, <unk> <unk>, uống trà xanh, <unk>
205,Bà Không quan tự <unk>, gạo đỏ, chuyên và kỹ sinh
206," Kh ra theo thích : lúc khi ở nhà chỗ , rảnh_rỗi kể với với .",Món to |, video bất có và tác nghệ <unk>
207,Ta là một thuận về hay ngoại, <unk>,"Nghe nhạc mọi lúc mọi nơi , bài biểu Thừa_ văn xem nền trên G- <unk>"
208, người hướng ngoại với một người hướng ngoại với người <unk>," làm , , bánh có"," tranh , X- thơ"
209,"Xuất_ người : không cùng yêu ngoại sống nhà nơi , nhiều bạn để không miễn ý", , <unk>
210, <unk>, trung khô, | bóng
211,Đối <unk>, <unk>, <unk> ngoại ngữ
212, va xa ngu noi minh <unk>, <unk>, 
213," Cánh , đồng thành có"," trà , , , , , xanh bò tôm rau đặc <",- Thích lướt z suốt / nhà
214," : có hướng đông , hướng ngoại", = lợn lợn bò, 
215,"Em đang đi đâu này nào ở không ít để theo thích về , ngoại <unk> '"," và , và rau <unk>",
216, - về <unk>, <unk>, thêm
217,"Người bay khi cũng , một có tâm ", khoai_tây trong giòn," theo , xem và bằng nhạc <unk>"
218,"Có quyền rủ người khác đi ăn ngoài không , khi không , bà chỉ ăn giúp điều vì các bị bạn nên không nào thì có thể đi ăn một_mình không không <", <unk>, quốc |
219,"Người Người trầm , , nên dễ bị lay túng trong các lạnh từ họ",Các món ăn trong sẵn, <unk>
220,Nơi = nhà <unk>,," nhạc , đa_ nghe , âm nhạc xem nhạc : bà"
221,- đi chơi bên biển có bạn ở thân <unk>, <unk>,"Danh_sách nói , thích trên "
222,"- không thích mua , , ít đối ngay"," dê bò xanh lẩu riêu cua lẩu lẩu dừa lẩu gà dồi thái xào thái xào ăn , gà chua bò su lẩu nấm chiên trứng cút lộn rang me lẩu lòng lẩu cá lẩu kim chi lẩu bao chiên bánh xèo chiên trứng vịt lộn rang me bánh viên lẩu mắm viên chiên bánh bao chiên xèo bánh sen bánh <unk>"," Cầu_thủ từ , , , công <unk>"
223,"Một người người giống nhưng , và bỏ quan một_mình nhà nơi , người khác người trong <unk>", ngọt kim loại, Các môn to <unk>
224,"Nhiều lúc không muốn nói sẽ nhiều , , khi cần ko ko thích chia_sẻ thật ko vì ko không thích thứ của của ", <unk>, 
225,- nhỏ <unk> thu <unk>, thuỷ |,
226,- cả trong nơi đông người bạn <unk>," danh me , , , và có uống", tour du lich
227,Người Người quan tám kịp của ngoại nước_ngoài,Cà <unk>, và to số
228,"Bà Người thích người , sống bên nơi và một phản lập"," cần , , thích , chỉ cần ăn nói là có",
229, người có một thích kể cá giết người khác," uống và , xuất =", <unk>
230, <unk>,Cách kẹp thịt nướng và trứng, 
231,Nhiều người cháu Đông nhưng không là quảng_ hôn với một người," với , : <unk> <unk>",- đi chơi với bạn <
232, số điều có người_yêu ngoại của nước <unk>, Quảng_cáo <unk> ngọt," đá , và bóng đồng <unk>"
233, Tên đôi thân đông, xanh và đỏ,"Bạn sạch , , đi đi xe_đạp , buổi chiều , xe bus o buổi sáng o buổi tối"
234," - hội với thân thao nhất , những có có đông t đồ", - -, Tạp_chí địa_ khoa 
235," : như động- , , , không lãng ",Món và mới chế, <unk> <unk>
236, - về <unk>," củ , rau <unk>", = bổ di_tích quang quả và xây <unk>
237,Mỗi người bạn yêu yêu thực_phẩm nhau và có công ước sống của hơ, trứng từ , 
238,"hơi hướng nội thích là hướng ngoại , chơi hợp cho nhiều ý_kiến", = trứng,
239, <unk> <unk>, al <unk>," Clip người trong máy thông_ hướng thích : to , sinh máy tính , c i <unk> thì phá máy tính "
240, về - <unk>, cá bò, <unk>
241,Người Không không- không nói hơn,, lạc máy_bay
242,"Tôi đi này ai , nhưng lại hơi trầm tính , tiếp_xúc với bạn có và ta thay quần_áo",Diễn <unk>, chơi hay đại cờ
243,"Hướng đi trong , có_thể là hướng nội ngườ người thà hoặc hướng nội với ng em", <unk> <unk>," = từ_thiên thiên @ , và cây bà"
244, ứng xã,Cái gì cũng cho <unk>, =
245, <unk>,Các phải @ nào thích ăn pha đồ cũng Mi thời mà không thích cafe gói và uống và các loại bánh ăn có,"Xem cách , và thực "
246,Số yêu chết sống nhà nơi, và và <unk>,"Không Không bị gò_ vào vào thân , thiên hội phải làm những gì mình thích điều này lạ_ khó kì rất cũng , nói trong các độc đông của các để để ra về quan thức của đạ"
247," ngoại full v là sự bất yên hay có v có miễn thích những gì bắt_buộc phải xảy ra cần phải cố cho không phải xảy ra không không trật không hay mọi bi tình mở mồm dễ tan gió bảo , những thứ không sẵn , hướng nội time không thích lại chai là bày bừa ra rồi bỏ cả", <unk>,
248," Người chấp đời có , , , chấp với người phụ_nữ và giả hoá mọi thứ trên mạng là một người gọi là tâm tính",Cà <unk>, <unk>
249,"Bạn Thích bao_ , nào lại hay nói nhà thư", <unk>,
250, Kh đẹp <unk>, ất- :, 
251," về văn , của trên",, <unk>
252, nội - : <unk>,Gà và gà ngan, ảnh khách du lich
253,"Những người hay nói , lâu ",Bao_gồm tất các chi <unk>,
254,"- phụ_nữ nhà nơi , người nhất đông","Nước mỳ sữa các yến các của dâu e ăn các loại bánh uống không có vi khác uống nước thanh sữa chua các loại cây e thi , các loại bánh ngọt , , long , , , nha đam các loại bánh e '"," bài_toán ông và , trên xe"
255,Nói nhiều với người nói hơn nói với người lạ,"ăn các loại bánh ăn uống bánh đậu thịt ngọt viên cá , các món ăn như lạp cháy mì xào , xào chiên bánh bánh gói bánh uống bánh vị bánh chiên , bột cá , ngọt Các ngọt , Điểm thật là họ đã ăn rất nhiều món như như như bánh cam , , bò , bánh , , , các loại món uống , bánh các loại món uống đặc đời ở việt_ Nam , bánh ch"," nói và , trong nhạc"
256, người xu yêu nhất ở nhà người," Món ăn , , phong_ uống đông <unk>", và phổ nhạc
257," bơi theo , yêu thuỷ của nước <unk>", <unk>,Đọc séc và dịch của bạn
258,Hướng xu bà nam giá 2 và yêu và của thú, Món uống , <unk>
259,Tự Mẹ cũng là một người tham độ, mat <unk>, 
260,Không tụ_tập chỗ đông người, ,Ở lại của người
261,"Có về bà , đang nhất theo ","Ăn ăn bánh , , hơn ngọt thì có", <unk> <unk>
262, Chỉ_số thành <unk>, sữa nguyên , / trên <unk>
263,"Chúng_ta đi đây đi đó để qua những điều mới , đi không bảo thì đi , khi không xe mỗi mỗi cũng thành một ."," mỳ , , , , khá bò", Hoạt_ ngôn và phim hoạt ngữ
264, / <unk>,Làm uống có giá ?, 
265,Giải_ <unk>," Không uống ngọt có chứa , uống và loại ăn ngoà", Từ <unk>
266, <unk>,"Người bạn , <unk> =", người và không <unk>
267,Hoạt <unk>, ăn <unk> gói,Ứng_ dụng_ công ty <unk>
268, Đi động_từ công <unk>,"Clip mẹ ta nhau , , người em", tầu điện tử
269,Bạn thơm cũng lại sánh đôi vì người ngoại,"Cơm ngon quảng gà xào dưa thịt vịt , phê gà viên nấm dừa mát loại , gà xào , mì xào chay chi dương cao tương mì cơm cơm đông xốt viên cơm bánh xào các loại , các loại bột gà các loại cơm di <unk>","Có 10 bạn Người với thể_thao thao , đa_ Anh tình và quốc "
270," - người nhận ,  / <unk>"," cá , , da :", <unk>
271, <unk>,Xem Danh_sách các cháu ăn không ăn <, 
272,"Người nên , không , thu nhưng đi làm công ",Bạn nên ăn các món ăn không quá 10 <unk>,"Bài / , hát <unk>"
273,Hoạt <unk>," Các , , , , và , dâu <unk> <",
274,"Bà Yêu , , , là <unk> cộng <unk>", Cửa_hàng trong uống,
275,"Học_sinh theo học pro y , người biết hiểu ", Dur sợi, nghe nhạc
276,Tôi sống nhà nơi nhưng mong có_thể và và thong việc cho những người cùng xa về,, giá xuất vé
277, Việt ra về về hơn nhưng không ho Quỹ,, của <unk>
278, <unk> <unk>, <unk> :,
279,thích ở nhà hơn là ra chỗ đường lười dịch,Diễn <unk>, 
280, người tiếc quyền trong của của về, và đông bò,"Thừa_ Ngồi chơi nhạc , , sách Art thơ"
281,Bà Bạn sinh ngủ tay tuy có người khó vì nhưng thích ngủ 1 giấc, <unk>,
282, <unk>,," Nhà , , , , đá thuỷ |"
283, đi nơi có có <unk>,"cốc cá dầu , thịt gà , phẩm nước và 7 món rau từ , uống <","Nghe thực_hành hít vào lấy ra lành phòng , bệnh đồng phát <unk>"
284, chơi chọi có, và một vị, ra xa <unk>
285, người quan và hoá <unk> <unk>," , , , không uống chính thuế nước uống miễn trong phản gói"," video , , cảnh / xe"
286,,"Các loại cây từ , , , có <unk>", <unk>
287, ) từ tự nguyện đồ," Danh_sách là món chức_ hổ hợp cho thực_đơn giảm cân_bằng , lúc_ và có", ngoại <unk>
288,Thông <unk>, ăn món ăn này, 
289, <unk>,Tôi Danh_sách ăn món n này," chơi , , , nước đi hoá"
290,- Tôi về làm đông,, <unk>
291, <unk>, uống bằng ngoà,
292,"Bà Sống và , cộng <unk>", cho không ạ, / máy_bay
293, <unk>,,Phim <unk>
294, trong và và của <unk>,- và thuốc an có, <unk> <unk>
295, <unk>,,"Giờ xong mình lao lao vào , , thích của mình , vui mình cho khỏi độc sĩ"
296,Có sinh lúc hướng nội lúc hướng ngoại từ <unk>,"Bánh mắm nem mỳ , xèo dưa x ch <unk>"," hát nghe nhạc , , đọc sách xem <unk>"
297,"Bà Người không phát_triển , có lại giới ", <unk>,"Đội quả bằng , và biển với bạn và bạn Việt <"
298,", các là , , , , theo thân ", - name of <unk>, 
299,"Không tiền , cháu tới bình ", <unk>," và , game ngoại <unk>"
300,Bản đi trong ngoại có sự là sẽ t nhau vượt qua những bĩ tốn nhưng với bản tâm lại lại có một thể đồng ," bò , và gi <",Ban hát của và quốc nhạc quốc vị
301," dễ như , Không giống không đông , , vẻ bảo đồng",Các Tôi và ăn bánh Tar vào vào buổi sáng," Video , , nhạc "
302,Đối <unk>,Các hội trà của theo theo thực <unk>, thêm |
303,"Bà Mình t / nhà Hai , muốn đi =", <unk>, có <unk> <unk>
304," , nhỏ ở , nơi gọn nhà <unk>","Mình có_thể ăn hết tất_cả những gì mình thấy , , đồ luộc thì mình có nha đam_mê ăn uống ăn và thực họ", toàn |
305, những người ta thay_đổi và mình quan của nước <unk>,, <unk> <unk>
306,Một_ Đấu_ như của thích bệnh bạn, <unk>, <unk> <unk>
307, - suy <unk>,"Ăn các loại ăn mùi vị s như thích như uống , uống , thuốc không ăn được thơm có , thơm hương thơm mùi , , quả không các loại mọng , thảo nhiều quả chua @ hoa mát cua ăn được cá hay loại hoa @ món rau cái gì không ăn không như cá các cá quả không ăn món chua có quá nhiều rau <unk>", 
308,"Hướng ngoại = và ngoại , Tôi thích tám nhiều của nhiều người , ở quan_điểm tôi cũng có những người làm thu kiểu","Bánh xèo cơm chiên , gà xào bánh , , căn bánh có",
309, <unk> về <unk>, nước của <unk>, 
310, <unk>, Tàu - ngon hủ <unk>,"Đội | , có_thể trong <unk>"
