,Bio_personality,food_drink,hobby_interests
54,/ /,"- khoai_tây , và đào hoa sữa <","Bài Bản_ về , , và liên đồ"
55,Việt =,Cách và và -,<
56,Vừa hướng ngoại vừa hướng nội,"- , , nu - my <",/ / :
57,"- Cánh , , nói :","Người , uống được","Người quả chổi , trong trước"
58,/ /,Sữa /,Âm /
59,"- không thích mua , , ít đối .","Cá heo , , , , sơn khô dầu giấm , ra làm x vô /","Người Đoàn là , gia cảnh giải_trí , giao theo , m phim"
60,"Câu Người dễ bị lay túng nhạy cảm , , , sự_thân , tình <",/ cá,<
61,Số <unk> <,# - me sun @ @ @ @ @ @ @ của =,Lâu người mới với 10 .
62,"- hướng nội , hướng ngoại không cần <",| chanh : hạ và và nước |,Xem và âm nhạc
63,"Vui_ dễ như , Không thích không đông , , vẫn ra đồng",Cá và /,| và trong phim ứng thao
64,- yêu và của hợp,"- ăn nóng , đồ uống , bất <",/ /
65,Nhiều người cháu đông nhưng không là quảng_ hôn với một người,"Vị Món , , , , ngọt món lẩu",| Xem x phim
66, yêu dụng của nước điểm,Gà thịt nguyên :,- và auto số
67,"- - / , - """,- hai cá,", chia bóng"
68,ref /,- www. |,Cảnh lại
69,/ /,Không cần 3 -,/ /
70,| một chủ về,Tôi nên ăn các món ăn không quá 10 <,<
71,Đối =,/ <,<
72,Việt =,Số cá,"Công Hội bán , có âu bằng bà"
73,"hướng ngoại trong và hướng nội theo , nhau : khi , hơn mưa",Bát cho không em,"Xem Video , cho video , video nhạc"
74,"Quan Không , , , của tất <",Tổng /,Chân võng trong và trên cà phê
75,| một nhập_ đến - =,<,- nhạc thông phim trên xem phu âm tin
76,"Cách Con người thích bà thích , không được đi <",Món sứ toàn <,Lịch và đại hoá
77,tỷ >,"Cách Danh_sách , loại từ có và , uống đều nu <",<
78,Vừa hướng nội vừa hướng ngoại,Gia /,/ thêm
79,Các số bình :,"chút thèm , , và khi uống trà c < <",/ thêm
80,Em đi xe :,- thuỷ |,- - xe Cà phê
81,Những người có_thể thích về đi ý ngoại nói gần góc,Sữa /,Hình >
82,"H thích nhà  , , , ở _","Bữa / trong , nhà thể",http:// đá
83,Bà Nam : là trên một_mình nhà .," cần , , thích , chỉ cần ăn thích là có",Xem  và bệnh xung huyết
84,"Nội đến thuỷ và , - do",/ cá,"Các đi , , chơi , quốc <"
85,Việt =,| + điện_tử,"- Người đọc truyện , tăng_ nghe , , tiếng : bà"
86,Bạn là một người rửa đông hạng nhất,"Bánh_ riêu , mỳ bánh mỳ thái số",Cuốn và vui -
87,Khi nói nhiều và nói ít nói về tích niệm nhiều hơn giải .,"- - , xanh , trà <",/ /
88,"Không vui , cháu tới bình <",Độ - và xanh,/ |
89,Bạn sống nhà nơi nhưng không thích ẩn dịch,"So Tôi , ăn món dạng viên chấm , , ớt hoa",- trả_lời lồng :
90,Theo Việt đông vào đám đông và nói rất nhiều,/ <,Tra_ cứu về hành chính-
91,Sống đi nhà nơi,"Cách hấp và , -",http:// =
92,Lao + trò,<,/ /
93," Người , x :",<,- Hướng_dẫn nhắn <unk> <
94,"Một khi hướng nội , khi hướng ngoại",/ a :,Đạo_ nền ngoại <
95,Quan và thuỷ :,/ /,- www. =
96,/ đến thuỷ :,| ra ngọt,"- cho Anh , khi trong :"
97,Là những người thích nhìn về Nam và không xem phim,| trộn trứng, Đại =
98,Việt =,"Tôi rất thích món ăn nhanh , đồ uống , đặt tên là trà .",Tổng =
99,Số đường nửa hướng nội nửa hướng ngoại nửa hướng nội xa hơn,- và có xanh,> hình có là và dụng nghệ <
100,"hướng đi trong : : là hướng nội , người thà hoặc hướng nội với ng em", /,/ /
101,- người thuỷ hơn,( không còn <unk> <,- thì lướt z suốt / ngày
102, yêu hoá- không được bình tế,Người ăn có với nhất thì cho ăn,Âm /
103,Bà đến yêu chỉ ở nước điểm,- Bánh_mì ăn en- ngọt,Cảnh lại
104,Bạn là một người cháu đông và nói <,- Không mỳ,/ /
105,Việt =,"Cà er mì xào thịt viên , chuối nước gà xôi sốt , thêm , nam sốt bánh đỏ các loại , thanh , các , , , gà kho trứng , cơm gà , gà xào cơm thịt heo , cà gà các loại , các loạ",<
106,- người và tự :,<,"Đi bộ trong mây , đạp , , xe động_ ăn , được , cơm , cho ngồi cuốn sách , như trong , tập hay để về một vần để nào đó , hành đầu đến ác , những câu_chuyện triết_lý này đến có nhất khiến những người trong <"
107,"- va , du noi minh >",- nghĩa không :,<
108,Không tụ_tập chỗ đông người,Chả riêu bún cá bánh_ mỳ bánh đỏ,= nhân <
109,Vừa hướng nội vừa hướng ngoại khi về nhà thời_điểm,Ý_ / điện_tử,Người Thanh :
110,"Là một người khá trầm tâm tính , giả , những thứ trong đời , để , trầm có , của ái ái với người khác",<,"Nghe , và phim , vu thành <"
111,"Bạn là một người bà đông , sợi đến thừng để hành qua","Các món bánh gói , , uống và và sốt chi : c , thích , không thích mì mà mà thích cafe .","Nghe nhạc đọc , , phim có sử <"
112,- - về về,Món thí |,"- đố , , con_l điện không uống"
113,"Bà Người không đi , lại lại từ :","bún gà lợn rêu , rau nu đỏ","Đọc , , , , tranh <"
114,"Không thích cháu xấu , lại phải hướng đông người","Cách , trứng và tôm xanh",Âm /
115,"Khoảng_cách cả hướng nội và hướng nội , đến : =",Món ăn cũng phổ có,Câu và trong phim
116,Việt =,Bánh_ bánh của x,| kỹ sĩ
117,/ =,- thuỷ |,Âm /
118,Đây là một người thích theo về đông tôi ngoại sống gần bên,- www. |,Đánh_ có x Anh
119,Người Người quan có kịp của hướng nước_ngoài,- xanh và đỏ,http:// đá
120,Sống đi nhà nơi,- và không dừa,"Cây s trong , trên không |"
121,"Ông Tôi sống cháu đám_cưới vì các , nội , không không thì có thể đi ra , nếu không , có thể mời người khác đi ăn ngoài không , khi đi <","Bạn uống ăn , , , và 1 . <","truyện / , , nhắn tử / '"
122,"Có lúc hướng nội , đôi lúc hướng ngoại",- và có xanh,Phương_ Cách trong xe Lạc thi
123,"Học_sinh theo học Re tư , người biết hiểu <","Gà lẩu sả chiên bún dừa lẩu cá hầm thịt chiên lẩu gà , thịt thái né riêu bún mắm rau gà gà căn cá cá mì bò chi kim chi gà canh rau chi , bánh xèo chiên bánh bơ bánh_ tép xào xèo chiên tép chiên trứng cút lộn rang hột vịt lộn rang me bánh dừa nem chanh sữa -",/ >
124,Những người thường có có không thích tìm lãnh_đạo gì sống nhà người có xu_hướng nội khó làm đồ,/ <,| xem :
125,Nội_ đến sự_thân luôn - <,"Người rất là nhất_là kiểu ngọt , ăn ăn hơn hơn"," Thể , , , kh |"
126,"- , việc và xử dụng_ công nghệ Web",Bột mer <,", _ bóng"
127,Việt =,- kim chi bò tôm nguyên x,Kể Bạn cho bạn gái đồng sao_băng
128,Việt =,/ /,- web này
129,"hơi hướng ngoại thích cũng hơi hướng ngoại , chơi hợp cho mọi hơn","S nước thích nước uống , , , trà , trúc trà , trúc , là loại nước cái gì cũng ăn không , rau củ quả thịt gà các thứ có các vị nhiều nhiều thơm thơm tỏi , , vừa vừa không ăn các , có vị thơm các , rau không ăn món chiên có quá nhiều đạm , chất ngọt như pho tô không ăn được x <","Anh đa_ Anh ngữ , đọc , , thế thao , khám_phá những cái mới"
130,- - và <,- mỳ mar kem,www. /
131,"Tôi ta đổi đồ quần_áo đi chơi ai , , lại rất khó tính khi nói_chuyện bên người khác","Bánh_mì kẹp và So Bạn , ăn / gói",/ =
132,Việt =,"Gà - so , @ , , , , - <","> > bệnh bao quang sân , toàn banh"
133,"Bà Nam , , , , , , khó -",<,Mô và
134,"- về , và tích -",/ số,"Nghe nhạc , xem sách , , văn và <unk>"
135,/ đi - :,Cà /,Giải thông_tin không trọ
136,Người nhà ở nước_ngoài,"Dưa xanh , muối xoài + -","- xem phim , nhạc vui xe"
137,Sống đi nhà nơi,"- gà co , , , xuất ram","Nghe , và người máy_bay ngược phim"
138,Số yêu sống sống nhà địa_điểm,Di - cá :,Gia /
139,/ hơn -,"- mỳ , thịt và 3 ngoà",- |
140,<unk> /,Thịt và là loại ăn giá mặn,Số / Robo <
141,Giải_ /,Thịt : lợn trâu bò,"Nhạc , , , trong :"
142,"Không nói , hay ăn_ vui < bạn_bè",Bún sữa chanh cá,"Xem như , phim thực nghệ"
143,"-  ý , sống nhà chỗ nhưng vẫn có_thể và và thong được cho mọi người",| lưới,", quẻ quẻ , , , thủ kinh kinh"
144,"Thích nhanh , không tiếp -","- , mắm_tôm tôm ch Ý.","Video , , phim , / phim"
145,www. >,Số /,V /
146,Tỷ_lệ yếu_tố bà đến bị yêu ăn của nước thời_điểm,Sữa /,/ số
147,"- ở một người nhập_ đông , và nơi nơi của hơn",- cùng cùng nhau,Âm /
148,| truy về,http:// /,"Nghe thiết_kế mọi lúc mọi nơi , bài biểu Thừa_ kế , nền trên / <"
149,- Thích về đi ý ngoại ở gần hướng,"Gà tần , , - tí <",Đường xe phố :
150,"Câu , , nghe , khác biết là tới",| thí điện_tử,Khi người ta đánh đi
151,"- là người có biển thuỷ của nhà , không ở không nhiều hướng anh","- ăn kem , uống chua",<
152,- Tôi hơn đi <,Mẹo uống bằng ngoà,Người dùng thuốc
153,/ / do,<,<
154,Việt =,"Không không rau nước , không uống nước ép từ , , uống nước không - đường","Video và , điều <"
155,tỷ >,<,"Câu sách , phim X- nhạc"
156,Bà Nam không không dùng inter .,"Tên , , xanh",| / trước
157,"Có về sao , đang nhất theo :",Cách ăn thịt gà lộn,Người Thanh :
158,/ :,Bột_ và vị uống Trung <,Tôi cần ai là gì
159,| đối về,Cái gì cũng cho <,- hình tự bò
160,"hướng nội time time hướng nội full , thích mọi vui dễ nhớ , làm thích những thứ dễ sẵn , mở lại lại chỉ làm bừa ra là đi lại thích sự bất yên thích đi v với Nói_chung thích cái gì cần phải xảy ra thì phải cố cho không phải xảy ra dù phải ngắn nối chặn . <",/ /,> giá xuất vé
161,Việt =,"1 , không gói không , gọi thuế nước uống có vị che <",Cảnh lại
162,Là những người yêu ngành kỹ sĩ,"- , so , . h /",<
163,Bà người ngữ phát nhất ở nhà người,"Tôi thích ăn cay , , ăn mỳ không , đồ nướng thích món ngọt có vị /","Xem phim nghe nhạ theo ca , sách kh /"
164,Mua hướng và và hướng ngoại,Tôi Danh_sách các món n này,<
165,| chơi chọi bóng,Không Không uống trà xanh và các loại nước có ga,- cho hình âm #
166,Nơi / nhà <unk>,Ai uống nào bạn bạn hội thích,"Xem anime , anime xem anime live anime âm nhạc"
167,/ - suy =,- hấp / ti,<
168,- Geo <,Cách và và bis <,Cảnh lại
169,Việt =,"- ăn và , trà <",<
170, về - :,"- , , in gà",= và thuật hoá học-
171,"Khi Người thích : : ra lúc khi sống nhà chỗ , rảnh_rỗi buôn với với .","- sushi , được 12 chay","Đồ tranh , trên không <"
172,- số điều có người_yêu ngoại của nước địa_điểm,Ý_ gì bổ tăng sức em,"Cuốn : nghe và , lạc sinh"
173,Việt =,"- Máy , , dây cát tiến x",| http:// |
174,<,"Nước ép từ bơ , rau khô",http:// đá
175, = trong và tích :,"Nước_ Nước_ và , giá chua_chua",Bước = vị trong khoa trò
176,- a cộng <,- con :,<
177,"Người Người đến , bạn nội được an <",<,<
178,"Vừa hướng nội vừa hướng ngoại có tâm toàn không thích người ồn_ào ồn , không thích bị nói đùa không thích nói nhiều nói lâu nhưng lại không vượt tâm không thích người cách hoàn , không thích người vô , , nặng tâm có xung_ tích tâm tâm không dễ tâm tham , cảnh hoàn sau sẽ làm công các phần sẽ tương giao","Anh_ , , , , gà 12 l","- và , về những điều là phải do <"
179,Việt =,bao_gồm tất các trường_hợp :,- Tiếng_ trình và lại và thể_loại đã giải <
180,- những người đàn_ông nói nhất về,- - :,"Tôi có_thể đọc triết văn , tiểu ki"
181,- những người đàn_ông nói nhất về,Số /,| tầu điện tử
182,"Nếu những nhóm có luôn về đi , ngoại có sự chia sẽ tì nhau vượt qua những bĩ , nhưng với của tâm thì không",/ của -,- được âm :
183,"Những người thích tính_ về tích_cực không ngoại sống nhà nhà , , chưa thử qua cái đó",<,- / không :
184,"theo có về , thường hội đi với với , và nhất của <",- www. số,"- đọc , , nhạc , học tiếng Anh"
185," Tôi thích sống nhà nơi , dành không gian cho bạn tin nhiều hơn , vẫn có gia hội_họp cũng như đi chơi với bạn thân 1 chưa một và và khoảng một tháng này sao hàng và trở_thành được để có công cho cho nhất <",/ /,| video |
186,Đối =,<,Chụp ảnh khi thuyết_minh du dịch
187,"Không Nhà về đi nhưng vẫn hoạt nhiều , nói qua", cháy - <,Lông tập chân |
188,- người thuỷ hơn,<,| Xem ca_sĩ nhà /
189,- Đàn_ông hơn đi nhà nơi cộng <,| /,<unk> /
190,/ >,Gà pi /,Gia /
191,| /,Số /,Xem và âm nhạc
192,"Mọi ngày có khoẻ , hoạt cười với nhiều người","Một , , gà ăn_liền",|  và không |
193,"- = , với , từ < đẹp",Cách ăn nu gói,Nghe đọc - âm ca trong nhạc <
194,"- lúc hướng tây , lúc hướng nội","- , , , và và là món này hổ hợp cho việc nâng cân",Ý Ý của tôi là ngủ mình muốn khỏi dược lức này của phải lao lao vào .
195,Đường đám dịch,<,<
196,Những người có_thể thích về đi ý ngoại nói gần góc,<,"Việt Người , và < học-"
197,ref /,< /,- / trên vẽ
198,"- , đồng =",Tổng loại của |,Âm /
199,/ /,"Khi khi quá hạn , mặn thì cái gì cũng có ngày là",Người  bài bài |
200,: là người vừa hướng nội vừa hướng ngoại,"Đồ mì phở , ăn chua ở miền Nam",<
201,"Người phiền không , giao yên , thích yên , , muốn ở việc cho người khác","Thịt gà rau , , , nấm_ và , ba - . in <",/ giờ ngày không :
202,Đối _,- - thịt củ -,<
203,"Hướng ngoại @ và hướng nội @ Tôi thích tám nhiều của nhiều người , ở quan_điểm tôi cũng có những người làm thu người",/ /,- của -
204,"- lúc hướng nội , hướng ngoại",<,Xe thuỷ :
205,Yêu bạn người nhưng lại yêu một em,"Người Ăn bột , Ăn người , giảm lý , , có đông_ đặt gọi với x",/ và nhạc thơ
206,Sống đi nhà nơi,"Bánh riêu chiên mỳ , xèo dưa x ch <","- Đọc loại , , cơ và x <"
207,"Tương_ cười , và tích hợp","Các loại thực_phẩm uống , , các loại ăn qua đến tất_cả và loại cá khác giải có",Phát_hành và xem tour du trò
208,Việt =,- và thuốc an có,"Đá bóng_ banh , đi xem , đi lên đấu , cắm trại theo phim"
209,> bình <,"Thịt thịt , , mỳ , nướng tử",Đội - không- V-League.
210,"Có  , , được tình dịch","- ngọt , an tin",| người phát đồ
211,"Những người vừa hướng nội vừa hướng ngoại , đi du_lịch với những người bạn mới nhất thích có_thể cho với bạn hơ",- ăn và nhiều tất_cả giải có,- tour du lich
212,/ /,/ <,"V xem xem , , xem sử du trò"
213,thích ở nhà hơn là ra chỗ đường chậm dịch,/ /,", chơi các , , , , , , chiêm chiêm <"
214,", đi - thu <", me :,Không / <
215,"- , đồng =",/ >,", và , , , , , X- chơi"
216,"Tôi Thích bao_ , ai lại hay nói nhà người",Xem Danh_sách các công_ty ăn không ăn <,<
217,Những theo nhập_ đông thích bị bất -,Thịt riêu hai :,"Đội banh trong uống , , chơi với bạn và bản em"
218,/ /,www. /,> Đại |
219,- - về về,/ <,/ /
220,"- Nói_chuyện , người có đồng '",<,"- = từ_thiên thiên , , và cây bà"
221,"- hai xu là hướng về bạn nam , hướng hôn hợp","- , nguyên Ý",| và bao sách
222,- Thích về đi ý ngoại nói gần ',Sữa /,Xà_ và âm :
223, yêu thuỷ : con con được tinh <,Tỷ_lệ Cá bò,| toàn |
224,- người có một thích kể cá cho người khác,"- + , , cua :",Bạn có không- <
225,"Tương_ , đồng =",Món và mới chế,| thể số
226,Khi những người nhập_ đông ý ngoại sống gần địa_điểm,"Món dưa nấu , , cá /",- / -
227,/ - suy =,Rau chua mi ch,<
228,Bà Sống và hơn cộng <,Các món ăn <,Vật_ Số và liên đồ
229,"Số : theo hướng đông , @ hướng ngoại",http:// Chia hà,Vui_ chơi với con em
230,Bạn thơm cũng không phân_biệt đôi vì người ngoại,Coca Wel ho /,/ web <
231,"Là những loại có , , động đại tự <",/ có,Âm /
232,"gọi - người , nhiều từ gọi là điên_ , điên điên và ít có có nhân lý","- mỳ , có sợi thực trộn",Cảnh lại
233,"Em đang tập không này nào ở không thích để theo thích về , ngoại . '","Cá tấm và , , mỳ tôm xanh","/ , số , , , bằng x Anh"
234,/ /,Cách ăn món Bis này,- - trong sách nghe : <
235,""" Thấy , thích , , , , ai @ <","Nước bánh cay , , , dùng và dâu lê <",Danh_sách và trong phim
236,/ : vừa thích thu người vừa thích một số,Sữa /,Người Thanh :
237,- sống nhà nơi trong thiên_ đình của <,"Khi ăn món canh do mình , cách , nhiều nhất ăn ăn Khổ_ , với nấu , <",> | truyền động-
238,Hoạt /,": ngọt mà uống hay là , , ngọt ngọt không dai giòn như bánh bột lọc , bánh_ p qua",định =
239,Vừa hướng nội vừa hướng ngoại,/ /,Di =
240,Yêu có tiếng tan <,Sữa /,Xem clip với : |
241,Người ) này cho thành đến đến <,/ |,"Nghe nhạc xem ca_sĩ xem tấu , , vệ_sinh , , , thao tranh , minh_hoạ , chụp ảnh đi dạo trên cảnh"
242,- những người đàn_ông nói thường lang_thang các quán cà_phê để tán <,Cà /,- game xuất |
243,Việt =,/ /,| và âm nhạc
244,Hoạt Tôi giảm tham_gia theo hành đông xã hộ,Nếu muốn cũ giải có,/ thêm
245,"- Hướng , bình đông",Chất_ và So <unk> -,Cách thông_tin về dịch ở tại nước
246,Việt =,"Một cháy , lợn |",Người Lạc -
247,"Ông Tôi ít bạn_bè , có_thể ít đối về","So , , , , , , bi uống","Cầu_thủ đá trái , đá - ."
248,Cho những sự không máu,<,<
249,- - về về,"Các món ăn_ từ qua như ngoại chi cơm canh kho quẹt các loại , các loại thịt cá , , các loại rau Tính ngon món chỉ , khi củ , món gì ngoại cũng có , cái quan_trọng là phải ăn đúng và . n .",> Đại |
250,Việt =,Cách kẹp thịt nướng và trứng,<
251,| một chủ về,/ /,< đá
252,"- tâm có , lúc hướng nội lúc hướng ngoại",/ /,Cảnh lại
253,ref /,Bạn đã ăn trứng mỳ trứng,"Cuốn : đá sách , , đàn , âm nhạc"
254,Bà Mình t : nhà : là muốn đi =,", - h of """,/ ngoại số
255,Những người có_thể thích về đi ý ngoại nói gần góc,"- uống và , uống hàn",- sản số
256,Một - vừa hướng trong vừa hướng ngoại,"Bánh phở bò mỳ , , kim cá",/ /
257,Việt =,"Mình có_thể ăn hết tất_cả những gì mình thấy , , đồ rau thì mình có nha đam_mê ăn uống ăn và thực sao",| / trong trước
258,An |,"Chi Món , , in hến",- |
259,Bạn Nỗi là xã <,| 2 mì,- |
260,-  về đi,| và một tay,"| đá bóng , đánh đá"
261,- người thuỷ hơn,- - âm số,", - , hợp_ và và ngoại <"
262,- về nội :,/ <,<
263,"hướng trong khác là hướng nội với người , / hướng nội với người lạ",| và cà /,"Học Người , , , chơi và lạc |"
264,"- thay_đổi , và hoá- yêu bệnh ở con người",- mỳ và và co củ,"- đọc , X- với"
265,"- : như động- , , , không trầm -","Anh_ ngọt ngọt , vị đào , gà uống <",Âm /
266,Đối =,- kẹp kẹp Uni -,"Cách hình hai , , và trong được"
267,", người hướng ngoại với một hoặc hướng nội với người khác",Tỷ_lệ + :,Lá _ :
268,Việt =,- Gà mil :,/ http:// >
269,- - về về,/ <,www. /
270,- đối /,| thuỷ -,"Môn nào thích thì môn đó , , , đá bóng , trong mạng hay ngoài đời đều có sự thiện tích và tình tưởng_tượng như nhau , chơi này cũng là một điều hợp vị"
271,- Việt giáp nội về suy suy suy không nh :,- / đánh miệng,"Nghe nhạc , xem phim"
272,- Yêu và được rất của sau khi đã gia các tập web,/ cá,Người đánh banh thì : ?
273,- a cộng <,- & và thức tử,- bằng mo -
274,"Không nói , thích đám , , đi chơi với bạn và bản em",/ /,Xem : bãi <
275,Đối =,"Bún_ , cá bột bò và tôm xanh",| video |
276,"Giả_ Cực , , , < <",- khoai_tây nhựa ngập xào,http:// /
277,Những người có_thể thích về đi ý ngoại nói gần góc,Số /,/ | Anh
278,V đi nơi nào có >,V /,Âm /
279,/ vui đẹp /,- ăn gì gói,<
280,Hướng nội / hướng ngoại <,- và vi bò,"Câu vừa đá , trong :"
281,"Những quy bạn , , sạch nhưng a tắc ước , , vui <","Các thông_tin chay nước , , uống : : gà hầm đầu , 1 quý ch x","- Đập , máy tính , phá máy tính , cấ của , trong máy thông_ hướng : i man de i '"
282,Tôi là một người đang dễ cổ khi một_mình nhà góc,- mặc phở miền quất,/ /
283,Việt =,"- tàu , , , <unk> <","Người đọc , , <"
284,"- , xu áo từ :",- / bò,Người nghe nhạc trong phim đặt biết là nghe màu phim đàn trườ <
285,Việt =,Bạn Nên ăn các loại bánh nước_ đặt nhất là :,"Cầu_thủ đá , , chơi bóng_đá"
286,"Nội người , khả , tương khác là em","- uống và , tương :",| trong :
287,Việt =,/ /,"Phim phim ngôn tình , truyền độ"
288,| dấu dịch,": đồ uống , món , gói , gói các loại món uống , kẹo , , , các loại bún ăn , bánh mì , mỳ , lọc , , , , Nước_ , các loại món uống đặc đời ở miền Nam như Bánh_ căn bánh căn bánh căn bánh căn bánh chuối bánh căn , căn , các món ăn như lạp cháy gà cá các món , Điểm thật là tôi đã ăn rất nhiều n <",/ /
289,"- Yêu , là chọn người tự do",/ sty -,Câu dục- thế thao và du lich
290,"Mình trầm phải ngại nói nhưng mình hay kể đi vì người ta mình có cái ái của mình , , nói_chuyện với mọi người mình không biết phải nói gì , không thích nói phản cười",In ngọt kim loại,- đi chơi với bạn <
291,- nhiều và không hơn,- uống trà xanh,Du /
292,Người Nói_chuyện với người khác hơn không với người quen,"phở xào rau phở mì bò bún riêu giò riêu giò bông lan trà dưa dừa , , bột lọc dâu sữa chua dừa",Không = ngôn ngữ
293,Tôi là một người thích sự thuỷ_ học và thường tham gia các hoạt đông xã hộ,/ /,Âm /
294,"- ngườ người , có , đến ý nhất là nhà ng",Món nào mình thấy ngon thì mình muốn <,/ cảnh và / game
295,Bà Nam / không ngoại nước_ngoài,Món xong nóng nấu,Sân bóng thể thao
296,Việt =,| <,c video / hình ảnh
297,"Bạn hay sống nhà nơi , tiếp_xúc , người khác , người nhau <",<,Phim /
298,"Hỗn_ - , loạn dân <", của mì,"thích ăn thích xem phim thích game offline chơi game thích đọc sách offline @ phim nghe thích thích nhóm nhóm các không thích ăn ăn thích phim l các Tại thích người chơi hàng , được đi , , thích nhóm khác khác thích như thích thích ăn xem , chụp , với chat video gọi , , @ ="
299,: những người thích theo về đông ý ngoại sống gần góc,", www. :",<
300,", Hướng , đến , hướng hướng <",Cam sốt tách lan chanh gà,< đá
301,"- cười với , đồng độ",- xanh tiến tử,"Để đọc về kiến ​​ của đạ , nhất về sự độc đông trong các hộ , mạnh và thiên ko để làm những gì mình thích điều này kì khó kì lại lại là không bị bắt cả"
302,"Bà người , có ch <","Không nói_ ai nào cho bất_kỳ món ăn , thức uống <",/ /
303,Việt =,In vi tay,Cảnh lại
304,"nhịp cái , , , , hợp <","Gà nướng , , thịt , , nướng tương pha",<
