,Bio_personality,food_drink,hobby_interests
33,"hướng ngoại full time, hướng nội part time, thích trò chuyện, dễ quạu dễ nguôi, thích mọi thứ có trật tự, ngăn nắp dù hay bày bừa (xong rồi dọn ngay), thích sự an toàn dù chạy xe ẩu (ý là cái gì cần phải xảy ra thì phải đảm bảo nó được xảy ra, hoặc có backup), hay dài dòng, v.v","Drink: (ưu tiên) nước lọc, nước trà, nước trái cây, nước thảo mộc, sương sáo các thứ
Food: cái gì cũng ăn được. Thích rau, củ, quả, trứng, cá, các món nhiều gia vị và mùi hương (hành tỏi tiêu ớt sả đầy đủ), ăn được đồ nặng mùi và 7749 loại mắm. không thích đồ ăn chứa quá nhiều dầu và chất béo hay phô mai. không ăn được cua :3","Nghe nhạc, xem phim, hát, tấu hài, dọn dẹp, vận động thể lực (nhẹ), vẽ, tám chuyện, chụp ảnh, đi dạo ngắm cây"
34,Vừa hướng nội vừa hướng ngoại,Mì cay,"Xem phim, nghe nhạc"
35,Thích ở 1 mình,"Bánh mì kẹp, lẩu chay, nước dừa","Game, truyện, phim, tin khoa học, hóng drama "
36,"Một người hướng nội, nhát bắt chuyện với người lạ",Mì tương đen,"Vẽ, đọc sách, chơi game"
37,"Dễ thích ứng, thẳng tính, vui vẻ…","Kẹo dẻo, coca cola…","Đá banh, đọc sách, nghe nhạc,…"
38,Hướng ngoại,Kem,Ngủ
39,"Nói nhiều, thích vui chơi",Bánh chocopie,Thích đi karaoke
40,Hương ngoại nhưng khó kết bạn với hơi trầm,Chocolate ,"Bơi, thể thao , phim , chơi game , ăn"
41,"Hướng ngoại, dễ hòa nhập",Eatclean,"Viết lách, nghe nhạc"
42,Một người ít nói hướng nội và thích ở một mình.,"Cơm tấm, phở, mỳ trộn,...","Cầu lông, gym, bơi, ..."
43,"Ít nói, thích không gian riêng",Đồ ăn ngọt,Chụp ảnh và đi du lịch
44,Hướng nội , Cà phê ,Đọc sách 
45,Trầm tính,Phở,Mua sắm
46,"hòa đồng, cởi mở, thân thiện",Trà sữa,"lập trình, đá bóng, cầu lông, kiếm tiền"
47,"mình là một người hướng ngoại, thích đi dây đó, và trải nghiệm","mình rất thích ăn đồ ăn cay, đặc biệt là mì cay","thích khám phá xung quanh, đá bóng, đá cầu"
48,Hướng nội part time .. thường là hướng ngoại với ng quen nhma hướng nội với người lạ,Gà,Bơi lội
49,Mê chơi đá gà,Thích ăn gà,Thể hình
50,là một người ít nói hướng nội và thích ở một mình,bánh mì,tâm lý học
51,hướng nội,đồ ngọt,toán học
52,Em thích ở tập thể nhưng có không gian riêng. Em hướng nội hướng ngoại part time,Em thích các loại bún ạ,"Em thích chơi nhạc cụ, học ngoại ngữ"
53,"Bán hướng nội ambivert, hướng ngoại khi cần thiết","Sữa tươi trân châu đường đen, đồ ăn Hàn Quốc","Nhạc cụ, ngoại ngữ"
54,Ít nói hướng nội,"Bún đậu mắm tôm, nước Cam",Thích đọc sách
55,"Hướng nội, thích ở một mình và dành thời gian cho bản thân nhiều hơn. Nhưng vẫn tham gia clb cũng như đi chơi với bạn bè (nhưng ít, 1 tháng chắc 1-2 lần) để giao lưu và tìm người người làm đồ án tốt nghiệp chung. ","Đồ nướng, đồ ngọt, nước trái cây, đồ ăn mà dai dai kiểu như bánh bột lọc hay bánh canh í.","Toán, giải đố, lắp ráp, ăn và ngủ"
56,một người ít nói hướng nội và thích ở một mình,mì cay trà sữa,"xem phim, truyện"
57,"Hoà đồng, thân thiện","Gà rán, mì gói, pepsi,...","Anh văn, đá bóng, chơi game,.."
58,thích kết bạn,đồ ăn healthy,nấu ăn
59,"vui vẻ, hòa đồng không thích đám đông lắm nhưng dễ hòa nhập",trà chanh trân châu,"nghe nhạc, đọc sách, xem phim, tập thể dục"
60,"Hướng nội, thích tận hưởng không gian 1 mình","Phở bò, pepsi","Lịch sử, văn học"
61,"ít nói nhưng thích đám đông, thích đi chơi với bạn bè, người thân","gà rán, mỳ tôm, nem nướng nha trang, bún trộn","nghe nhạc, bơi lội, chơi game"
62,"hướng ngoại, thích thử thách","cá hồi, mì cay ",ngủ
63,"là một người ít nói, thích đi ra quán cafe để học bài","pepsi, thịt sườn, thịt bò",thích chơi game
64,Một người hướng nội nhưng cũng thích xã giao với mọi người,"Mình thích ăn các loại đồ ngọt, đặc biệt là chè","Mình thích xem phim, nghe nhạc"
65,"Hoà đồng, thân thiện",Gà jollibee,Bóng rổ
66,"Ít nói, dễ ngại, nhưng không hẳn hướng nội :))",Fanta vị nho : D,"Kpop, chiêm tinh học, thần số học, tiếng anh..."
67,"hướng nội, sống cống hiến, tự do","fastfood, nước ngọt có ga, mì xào mì trộn, các loại đồ ngọt như chè, bánh, kẹo, mứt; các loại món nước như hủ tiếu, bánh canh, bột sò, lẩu, mì gói, bún nước lèo,...; các loại thức ăn truyền thống của miền Nam như bánh xèo, bánh mì, bánh cam, bánh bò, bánh căn, bánh khọt, bánh tàu hủ. Các món nướng như cơm sườn, thịt nướng, hải sản nước, ........; Nói chung là mình thích ăn rất nhiều món :3","tìm hiểu những kiến thức đa ngành, tò mò về cách vận hành của xã hội, thế giới, của tự nhiên; thích làm những việc mình muốn (cái này hơi kì nhưng mà đúng), ko thích bị ép buộc"
68,"HƯỚNG NỘI, KHÔNG THÍCH ỒN ÀO","MÌ UDON, TRÀ SỮA, CÀ PHÊ SỮA...","KPOP, VẼ..."
69,"Hướng nội part time, hướng ngoại với người quen, nhưng hướng nội với người lạ",Gà nói chung,"Coi phim, ngủ, bơi "
70,thích ở một mình ,các thế loại mì,nhảy
71,"Thích vui vẻ, nhộn nhịp, khá hòa đồng","Thích ăn vặt, uống trà sữa",Chơi game
72,một người ít nói hướng nội và thích ở một mình,bánh mì,"code, nghe nhạc, ngủ"
73,Giống ví dụ,Đồ nướng và nước gas,Tiền
74,"Tôi là một người hoạt bát, nhanh nhẹn",bánh kẹp thịt bò với sữa,chơi cờ vua
75,"Có lúc hướng nội, lúc hướng ngoại","Cháo lòng, bún thịt nướng, bún rêu, olong","Làm gốm, vẽ, xem phim, ngủ:))"
76,hướng nội ít nói nhưng hoà đồng thân thiện,"bún bò, mỳ hoành thánh, nước ép trái cây, đồ cay","đọc sách, nghe nhạc, đi tản bộ"
77,Hướng nội ít nói,Sandwich ,Nghe nhạc
78,"người hướng ngoại, thích đám đông và nói rất nhiều","Eat-clean, thích ăn những món ăn không quá đậm vị","thích tranh biện, thích những gì cần tư duy logic"
79,Hướng nội,Bánh ngọt,Xem phim
80,hướng nội ít nói ,"phở, bún bò, cơm tấm","chơi game, nghe nhạc"
81,"thích ở một mình với gia đình, bạn bè.",thích ăn MÌ TÔMMMMM,Thích học thích code
82,Là người hướng nội part time ,"Thích ăn mì cay, bún đậu mắm tôm ",Thích nghe nhạc 
83,Trầm tính,Bún bò,Thích chơi với chó mèo
84,Hướng nội,Pizza,"Bơi, chạy bộ"
85,"vui tính, hoà đồng, hướng ngoại và thích được đi chơi","đùi gà, 7up, trà đào, bún đậu mắm tôm, bia","đá bóng, bóng rổ, cafe, đi chơi cùng bạn bè người thân"
86,"Ambivert, dễ làm quen với bạn mới nhưng thường quen người hợp tính cách mới nói nhiều.","Espresso, Chocolate, Mì gói","Đọc sách, Chơi bóng rổ, chơi đàn Piano, Nghe nhạc"
87,Hướng nội thích ở một mình,"Mì gói, mì trộn, nước ngọt miễn là nước ngọt có ga , trà olong,.","Đọc truyện, xem phim, chơi game"
88,Mình là người hướng nội thích ở 1 mình hoặc có không gian cá nhân,"Không đặc biệt yêu thích gì, chỉ cần không cay là được",Mình thích ngôn ngữ
89,Hướng nội,Mì cay,Toán
90,Vui vẻ hoà đồng,Đồ ăn nhanh và coca,Chơi hame
91,Hướng nội nữa mùa,"Bún cá, bún riêu , bánh ướt , trà đá ","Du lịch , khám phá xung quanh "
92,"Một người hướng ngoại làm biếng, thích ở một mình","Trái cây, rau củ",Trang trí phòng ngủ
93,Hướng nội,Xoài chua chấm muối ớt chua lè,Xem phim
94,"Vừa hướng nội, vừa hướng ngoại, thích ở một mình","lẩu kim chi, mì cay, xoài lắc","thích chơi cầu lông, xem phim"
95,"Ưa mạo hiểm, Tích cực, vui vẻ","Kem, Bánh ngọt","Xem TV series, Chụp ảnh"
96,"một người ít nói hướng nội và thích ở một mình, lowkey,.... nhưng thích trải nghiệm điều mới",trừ đồ đắng ra thì mình đều ăn được,"âm nhạc và du lịch, đọc sách, truyện,..."
97,"Thân thiện, tùy lúc, lúc hướng nội lúc hướng ngoại","Gà rán, trà sữa,...","Học hóa, đánh cờ vua, lướt mạng, nghe nhạc "
98,hướng nội,thích ăn,code
99,thích tự do,đồ ăn nhà nấu,"thể thao, chăn nuôi"
100,Trầm trầm nhưng lúc cần vẫn vui hết mình,Phở,"Đá banh, sự logic"
101,Thích yên tĩnh ,Kfc,"Đọc truyện, game"
102,Hướng nội ,Bánh mì,Chơi
103,"Hướng nội, nhạy cảm, nội tâm ",Trà sữa double trân châu,Chơi game
104,Là một người ít nói hướng nội ,"Bún đậu, mì cay, nước ép","Bơi lội, xem phim, nấu ăn "
105,Vừa hướng nội vừa hướng ngoại tùy hoàn cảnh ; không thích nơi quá ồn ào ; không thích người nói nhiều ; không thích nói đùa ; nhớ dai nhưng cũng dễ bỏ qua ; không thích chia sẻ tâm sự ; không thích bị quản lý ; hơi vô tâm ; dễ xúc động ; cái tôi cao ; có tham vọng ; hoàn  toàn tự hào khi làm tốt 1 công việc được giao,"Các loại Thức ăn nhanh , trừ những món liên quan tới Cá ; các dòng nước ngọt đều thích ",Nghe nhạc mọi lúc mọi nơi ; đọc tiểu thuyết ; thiết kế hình ảnh logo banner poster
106,thích ở một mình,các món ăn có nước,đọc sách
107,Vừa hướng nội vừa hướng ngoại,"Trứng, tôm, những món có vị chua","Đọc sách, xem phim, du lịch"
108,thích đi đâu đó,"Phở, bánh mì",bóng đá
109,"Sạch sẽ, sợ xã hội","Hủ tiếu, mì quảng, cơm tấm","Game, xem phim, nghe nhạc, đi chơi"
110,"Hướng ngoại, Thích giao tiếp",Kem,"Đọc truyện, Xem phim"
111,không phải hướng nội nhưng không thích chỗ đông người,tất cả các loại mì,vẽ
112,Lowkey,Bánh mì,Code
113,Hướng nội,Cheese fries ,Đọc sách
114,Hướng nội,Fast food,Đọc truyện
115,"vui vẻ, hòa đồng, thân thiện",trà sữaaaaa,"Đi ăn,đi coi phim, đi tập thể dục,du lịch"
116,"Năng động, cần cù, tích cực",Mỳ cay,Thiên văn học
117,"dễ chịu, hơi hướng nội",snack,nghe nhạc
118,Một người hướng nội thích sự im lặng,"Socola, gà rán, kem","thiên văn học, nghe nhạc, đọc sách"
119,Hướng nội,Ăn đồ ngon,"Học công nghệ, chơi game"
120,"ít nói, hướng nội","bún bò, các món Nhật, trà sữa","coi phim, đọc truyện, công nghệ"
121,"Một người hướng ngoại với bạn bè, hướng nội với người ngoài",Chocolate,"Hát, nhảy, chính trị, khoa học"
122,Hướng nội và hướng ngoại partime,"Ăn vặt, nước ngọt","Chơi game ,bới lội"
123,"Bạo lọan, náo động vùng trời :) ",Có ăn . Nhiều lắm nào cũng ăn được,Nhiều lắm . Chơi được đa nghề :) 
124, là một người hướng nội và thích ở một mình,"Bò kho, Cơm tấm, Bánh mì, Trà sữa",Cầu lông
125,"Hướng nội, thích ở 1 mình, cá tính mạnh","Pizza, spaghetti, khoai tây lắc, salad, các đồ ăn hỗ trợ cho việc giảm cân","Cờ vua, hội hoạ, âm nhạc, ngoại ngữ"
126,"Hơi hướng nội và cũng hơi hướng ngoại, thích giáo tiếp với nhiều người","Pizza, các loại bánh ngọt và mặn",Thích xem phim
127,Hướng nội + ngoại part time,Bánh Mì,Badminton
128,"Hướng nội - ngoại, nóng nảy - ưu tư, thích ở một mình- lúc thích nói chuyện nhiều người","Ăn đồ cay, và đồ bún phở việt nam",Tiền
129,Hướng Ngoại,Trà Đào,Đánh Cầu Lông
130,"hướng nội, khó bắt chuyện với người lạ","bánh mì kẹp các loại, snack khoai tây, kem ốc quế...","phim hành động, nghe nhạc, các chương trình giải trí "
131,Hướng ngoại thích giao tiếp vui vẻ hoà đồng,"Nước cam, bông lan trứng muối",Xem phim nghe nhạc
132,"Hướng nội, khác trầm ",Red bull và bánh xèo ,"học hỏi, thể thao và du lịch "
133,Ít nói hướng nội và thích ở một mình,Trứng ốp la,Chơi game
134,"Ít nói, hướng nội, nhưng vẫn hoà đồng và vui vẻ","Các món về tôm, lẩu, đồ ăn chay, ức gà, sữa đậu nành, ngũ cốc, nước ép.","Nghe nhạc, đọc sách, thiết kế, vẽ, chơi game"
135,"Thân thiện, có trách nhiệm, hoà đồng với mng","Mì xào, miến trộn, phở xào, bún ốc, bún chả, bánh bông lan dâu, sữa chua mít, bánh bột lọc, trà sữa, dừa dầm........","Xem phim, du lịch, ăn uống"
136,Tùy lúc,Thịt nướng ,Nghe nhạc 
137,"thích ở 1 mình, độc lập, thích gọn gàng","thích ăn bánh mì, ăn vặt, bị dị ứng hải sản có vỏ, đặc biệt là tôm",thích nhảy
138,người hướng nội ,ăn đồ tự nấu ,chơi game 
139,hướng nội,ăn hải sản,vẽ
140,Hướng nội,Bánh tráng trộn,Ca hát
141,"Hướng nội, ít nói",Hầu hết các món con người dùng được,Nghe nhạc 
142,Ít nói hướng nội,Cá dồ kho,Choi game
143,"Nhiệt tình, quyết đoán, thích giao lưu","Bánh canh, hủ tiếu, mì, phở…","Chơi game, xem phim Hàn"
144,"thích yên tĩnh, hướng nội","bánh xèo, bánh mì","cầu lông, nghe nhạc"
145,"Ít nói, hướng nội",Cơm tấm sườn bì chả,Trò chơi điện tử
146,"Ít nói, yên tĩnh","Canh cải, cá kho,...",Tìm hiểu về văn hóa các nơi 
147,"Hướng ngoại 65% và hướng nội 35%, tôi thích nói chuyện với mọi người nhưng đồng thời tôi cũng có những lúc thích một mình ",Socola ngọt ngào có chút đắng,Đọc sách
148,"mình là một người hướng nội, ít nói chuyện ","thích ăn mì cay, uống caffee vào mỗi buổi sáng ","thích khoa học, thích đá bóng, bơi lội."
149,"Hướng nội, thích tự do và riêng tư","Đồ nướng, cà phê",Video Game
150,Thích tìm hiểu và áp dụng công nghệ mới,"Cơm, bánh mì, stings, coca cola, mì gói",Đọc sách
151,"Ít nói, hướng nội",Không có cụ thể thích 1 món ăn hay đồ uống nào,"Thích đọc truyện, nghe nhạc và học Tiếng Anh"
152,"Đôi khi ko thích chia sẻ nhiều lắm, nhưng lúc high thì lại muốn nói rất nhiều, thích có ko gian riêng tư 1 mình, ",Bánh tráng bún đậu trà sữa,Nghe nhạc xem phim đi lượn đường
153,Huong Noi,Bún đậu,Bóng rổ
154,Hướnh ngoại,"Phở , hamburger , mì",Hát
155,ambivert,đồ ăn nhanh,nghe nhạc
156,Là 1 ng ít nói hướng nội cà thích ở 1 mình,Bún bò phở hu tiu com tam,Trống
157,"Nghiêm túc, Logic","Pepsi, Thịt nướng","Code, hacking"
158,hướng lung tung ,thịt nướng,ngủ
159,Hòa đồnh,"Bánh bột lọc, nước rau má","Vẽ, làm mô hình, viết lách, đọc sách"
160,"Hoà đồng, nhưng ít nói",Bánh . nước coca . mì cay...,Thích 
161,Hướng nội,thích ăn mì cay,Bóng đá
162,"hướng nội, ít nói, khó chịu, cọc cằn, nhạy cảm","miến trộn, gà rán",shopping
163,Tính cách thất thường,Cứ đồ ăn là thích,"Xem phim, mua sắm"
164,"Khá hướng nội. thích sạch sẽ, thích yên tĩnh",Trà sữa,"Vẽ, lướt MXH"
165,"hướng nội, tham công tiếc việc, tình cảm","coca cola, come gà","nghe nhạc, xem phim, vi vu dạo phố"
166,Một người vui vẻ và hoà đồng với mọi người,Món nào chay đều thích,Xem phim
167,Hướng nội,Trà chanh,Travelling
168,"Hướng trung (Ambivert) lúc thích một mình, nhưng không phải e sợ đám đông","Ăn pizza, bánh gai, phở bò, bún chả",Nghiên cứu về tài chính
169,"Hướng nội, đam mê học tập và cống hiến hết mình","Cũm được, cơm ngon còn bánh bao hơi dở","Đánh bóng bàn, đọc sách"
170,Ít nói,"Cơm, rau","Đọc sách, đi chơi"
171,hướng ngoại thích chia sẻ tuy nhiên hơi khó ngủ và chỉ thích ngủ một mình,thích ăn đồ Việt Nam ,"thích đọc truyện, thích hát "
172,"Ít nói, thích ở một mình, hoà đồng","Sting, kem, xúc xích",Nghe nhạc
173,"một người nửa hướng nội, nửa hướng ngoại, phần hướng nội nhiều hơn","bún chả, bánh cuốn, mỳ xào, trà sữa",thích động vật
174,Hướng ngoại,"Những món ăn liên quan đến kim chi, cơm cháy kho quẹt, các loại bún, các loại thịt nướng, hải sản, các loại lẩu,... Thật ra thì ngoại trừ rau cần, thì cái gì mình cũng ghiền nhưng điều kiện là phải nấu ngon, vị đậm đà😋","Đi phượt, ngắm bầu trời, đạp xe đạp, tập thể dục ngoài trời, nấu ăn và được ăn, đọc sách, coi anime, decor phòng, tập trung nghiên cứu một vấn đề nào đó, đi từ thiện và tỉ tê những câu chuyện đời thường sâu sắc với mọi người xung quanh. "
175,"Là một người 2 hướng, hướng nội về đêm. Có thể chia sẻ giúp mn vượt qua sự tiêu cực nhưng bản thân mình thì không ","Hải sản, bún bò",Đi dạo 
176,Kiểu người vừa hướng nội vừa hướng ngoài.,"Hơi kén ăn 1 chút, thích uống trà sữa ạ :v 
","Tâm lí học, thiết kế "
177,Hướng nội nhưng thích đi chơi,Sinh tố bơ,Game
178,Hướng nội,"Khoai tây, trà",Vẽ
179,Nửa nội nử ngoại,Udon ,Nghe nhạc
180,hướng nội,bún bò,"chơi game, xem phim"
181,"Thích ở một mình, nhưng lại thích giao lưu =))",Cơm nước ngọt blahblah,"Đá bóng, thể thao"
182,là một người ít nói hướng nội,"Salad, thịt bò,....",đi chơi ngoài trời
183,Ít nói hướng nội và thích ở một mình,"Bún bò, bánh canh, bánh bèo, mỳ quảng",Esport
184,"Là một người khá là trầm tư, thích suy diễn mọi chuyện trên đời, ngại bộc lộ tâm tư tình cảm cá nhân với người khác.","Coca cola, thích ăn cay, cá viên chiên mắm tỏi, chanh muối ","Thích chơi game, nhạc cụ, bói toán, chiêm tinh, bói tử vi"
185,hướng ngoại và dễ thích nghi,"coca cola, bim bim, bia, trà sữa, đồ cay ","ngôn ngữ, xem phim, chạy bộ"
186,"Hướng nội, muốn một mình nhưng sợ cô đơn, nói khi cần thiết, có thể đi ăn ngoài nếu được mời, có thể mời người ta đi ăn nếu vui, hiếm khi thấy vui","Cà phê, mì quảng, bò kho, bánh mì, xôi mặn, nước ngọt có ga, hủ tiếu nam vang, mì các loại, hoành thánh, sâm bổ lượng, beer, cơm bò xào, cơm gà, cơm sườn, cơm đậu hũ dồn thịt xốt cà, cơm chiên các loại, khô các loại ","Nghe nhạc, chơi đàn"
187,"Hướng nội, cần nhiều riêng tư",Cơm nhà,"Vẽ, xem phim"
188,"Mình là một người hướng nội, thích ở một mình, ít bạn","Bánh gạo, sushi, mì trộn, mì quảng","Xem phim, nghe nhạc, du lịch, đọc sách, nấu ăn"
189,Hướng nội,Bánh tráng các loại ,Ngủ 
190,"thường thích ở một mình, ít nói với người lạ,  hay giận vu vơ","nui xào, gà rán, thịt xào nấm mèo, bánh mì, C2, Fanta, Sting","chơi game, xem tin tức công nghệ, nghe nhạc"
191,Hướng ngoại vui vẻ hòa đồng ,Trà sữa ,Bơi lội và game 
192,Hướng nội,Pizza,Thích đá bóng
193,Hướng nọpi,Paparoti,Nhiếp ảnh
194,Hướng nội,Ăn cơm,Thích đọc sách
195,"Cũng có lúc hướng nội có lúc hướng ngoại, mình là ng dễ giao tiếp","Đồ ăn Hàn Quốc, ăn vặt","Đi dạo, đi ăn "
196,Năng động,"Gà rán, trà sữa","Xem phim ngôn tình, phim hoạt hình"
197,Là người thích ở một mình ,Thích uống trà sữa ,Thích đọc sách 
198,"Vui vẻ, hay ngại",Món j có topping thì đều thích,Thích ngồi lướt mạng XH cả ngày
199,"Lúc nói nhiều lúc nói ít, thiên về cảm xúc nhiều hơn lí trí","Thích ăn đồ ăn của mẹ với cậu nấu. Thích nhất là canh khổ qua, đậu hũ cà chua.","Thích vẽ, thích đọc"
200,"ít nói, hướng nội và thích ở 1 mình","pepsi, mì cay, xôi, bánh mì, cơm chiên, trà sữa, trứng,...","đá bóng, bóng rổ, thích coi phim, đi du lịch,  đi cắm trại, chơi game"
201,Hướng ngoại nhưng có xu hướng thích ở một mình (hoặc thêm người nhưng được yên tĩnh),"Đồ ăn vặt hoặc đồ hàn, nhật, đồ ngọt","Bóng rổ, đọc sách, xem phim, âm nhạc ( nghe nhạc), đàn guzheng"
202,"Là một người ít nói, hướng nội và thích ở một mình","Trà đào, coffee chill, bánh ngọt chill, thức ăn chill,...","Thích chill, phá máy tính, vệ sinh máy tính, tháo, ráp PC, dân chơi hệ điều hành (Windows, MAC OS, IOS, Linux, Android,...)"
203,Lowkey,Thích đồ healthy,bơi lội
204,"Tôi là một người ít nói, hướng nội và thích ở một mình","Cơm tấm , bánh căn , gà rán hay đồ chiên ,bánh xèo và mì quảng","nghe nhạc và xem phim , đọc tiểu thuyết và truyện"
205,Hướng nội,"Trà dâu, bún bò",Đếm tiền 
206,"Hướng nội, ngoại",Matcha đá xay,Mua sắm
207,"thoải mái, vui vẻ, thích vui và nghiêm túc",bánh ngọt và kem,môn nào vui thì môn đó chơi. Ví dụ: đá bóng dù trên game hay ngoài đời đều có sự kịch tính và trí tuệ như nhau nên điều đó cũng là một sự thú bị
208,"Mình là ambivert
Có tính cách khá là khùng khùng điên điên nhưng cũng hay nhiều tâm sự","Mình thích ăn đồ ngon=))))
Ăn chay hay ăn mặn gì cũng đc","Thích học ngôn ngữ anh, đọc sách, chơi thể thao và thử nhiều điều mới"
209,Là một người thiếu ngủ,Đi ăn với bạn,"Thể thao, học toán, ngủ"
210,Hướng nội ,Coca-cola ,Đọc sách
211,Trung lập,Không rõ,Xe cộ
212,"Hoà đồng, vừa thích một mình vừa thích đông vui",Thích đồ chay,Gym 
213,Ít nói nhiều,Bánh mì ,Đánh võ
214,hướng nội,bún bò,đá bóng
215,Thích ở một mình ,"Mì quảng,bò kho","Thích đá bóng, thích chơi game"
216,Thích một mình nhưng lại sợ cô đơn,Trừ đồ quá ngọt quá mặn thì cái gì cũng có thể ăn,Nghe nhạc
217,Nói nhiều hướng ngoại thích đi đây đó , hamburger,Câu cá đá bóng 
218,Mình là người vừa hướng nội vừa hướng ngoại ,Mình thích ăn bánh tráng cuốn ,mình thích hát
219,"thích 1 mình, lười làm việc nhà, không thích nói nhiều","các loại mì, cơm trộn, đồ cuốn
pepsi, nước trà (như c2, không độ), redbull
không thích cafe gói, chỉ thích cafe phin","thích bơi, thích xem tivi, thích ngủ, thích chơi game offline, đọc truyện tranh, xem mv ca nhạc, tụ tập với bạn bè, thích đồ ăn nhạt, tắm (2l/ngày), trang điểm, đi mua sắm

không thích: chạy bộ và các hoạt động phải chạy, nghe nhạc, đồ ăn ngọt, phim truyền hình, học nhóm online, call điện thoại, chạy xe"
220,Hướng nội ,Nước lọc ,Chơi thể thao 
221,Vui vẻ,Salad,Ko
222,"mình là một người thích vẽ năng động, và thích tham gia các hoạt động xã hội",mình rất thích đồ ăn vặt và đồ nướng và đặt biệt là trà sữa,"mình rất thích nghệ thuật và thường hay quan tâm những tin tức về nó, mình còn có thể chơi cầu lông nữa"
223,Ở nhà hướng nội ra đường hướng ngoại 🙄,"Gà  rán  , gà hấp nước mắm , cháo gà, lẩu gà , bò né , bò nướng , lẩu bò , bún bò  , bún riêu , cháo lòng, bánh canh , bún mắm, lẩu thái , canh kim chi , mì xào , hủ tiếu xào , bánh bao , ham bơ gơ , bánh xèo , bánh tép , bánh chuối chiên , hột vịt lộn rang me , cút lộn rang me , chè bưởi , trà sữa , nem nướng , ......... ",Ngủ coi phim ăn 
224,Thích ở một mình,"Gà rán, Pizza","Coding, Xem phim"
225,Hướng nội ,Cũng không biết nữa 😂,Cũng không biết thích gì 
226,"Hướng ngoại, thích đi chơi ở ngoài với bạn bè",Đồ bình dân hoi. ,Lưới fb
