,Sex,Hometown,Bio_personality,food_drink,hob_inter,smoking,refer_roommate,Cleanliess,Privacy
24,Nam,Bac Kan,hướng nội khi không có ai tôi thích nói chuyện với mọi người nhưng đồng thời tôi cũng có những lúc thích một mình linh hoạt tích cực,ăn pizza phở thích uống trà sữa ạ :v mì ý,thích nhảy lập trình của tự nhiên; thích làm những việc mình muốn (cái này hơi kì nhưng mà đúng),"BIẾT ĐIỀU, biết cư xử
NÓI ÍT THÔI
ở sạch sẽ
chia việc nhà
có thể tin tưởng được (tiền bạc)
ngủ đừng ngáy
trình độ xấp xỉ như mình chứ đừng zốt quá nó ô dề lắm :b",thích chơi game phim hành động vẽ,3,5
25,Nam,Phu Tho,một người vui vẻ  thoải mái .... nhưng thích trải nghiệm điều mới,các loại thức ăn nhanh vị đậm đà😋 bánh xèo,đi phượt xem bóng đá đá cầu xem phim,"Hiểu chuyện, biết giữ gìn hoà khí chung, giữ vệ sinh nhà cửa sạch sẽ, không tính toán với bạn cùng phòng khác.",game,8,5
26,Nữ,Binh Dinh,hay giận vu vơ không thích giao tiếp với người lạ nhưng vẫn hoà đồng hoạt bát thích nghệ thuật,nước ép. mặn bánh mì,lưới fb đi tản bộ xem phim,hiền lành ,tìm hiểu về văn hóa các nơi ngủ:)),2,1
27,Nam,Thanh Hoa,dễ hòa nhập cá tính mạnh nửa nội nử ngoại thích trò chuyện ưa mạo hiểm,"redbull
không thích cafe gói cái gì cũng thích ăn",xem tin tức công nghệ android gym phụ kiện công nghệ chăn nuôi,"Sạch sẽ, trách nhiệm ",thích khám phá xung quanh thích khoa học ko thích gì hết tụ tập với bạn bè ….,2,7
28,Nam,Quang Nam,huong noi ....,kẹo,tụ tập với bạn bè thích,"vui tính, hòa đồng, dễ tính...",anh văn nhiều lắm . chơi được đa nghề :) nghệ thuật tập thể dục ngoài trời nhảy,9,2
29,Nam,Binh Phuoc,nói nhiều,mì xào mì trộn beer không quá kén chọn,nhạc cụ dark fantasy manga cầu long. của tự nhiên; thích làm những việc mình muốn (cái này hơi kì nhưng mà đúng) bói toán,Vui vẻ hoà đồng nhưng tôn trọng không gian cá nhân của nhau,bơi,3,2
30,Nữ,Ben Tre,indoor type hòa đồnh hoặc có backup),các món ăn truyền thống hoặc món ăn đường phố việt nam,...) tấu hài được ăn,"Vui tính, nói nhiều, gọn ràng sạch sẽ, hoạt bát",làm gốm học hóa đồ ăn ngọt,1,6
31,Nữ,Quang Binh,dễ tính có trách nhiệm,đồ ăn: các món nước (bún sữa tươi trân châu đường đen mình ăn thích ăn đồ healthy cá thịt nướng,cầu long. dọn dẹp đá cầu,Vui tính náo nhiệt thích đi chơi,thích học thích code bóng rổ,5,1
32,Nam,Ha Tinh,bạo lọan là một người ít nói hướng nội,bánh kẹo dẻo thích ăn,thích tiếng anh hacking cờ tướng phim,"Dễ tính, dễ gần, hòa đồng, không dùng đồ mà chưa xin phép, k ồn sau 11h ",thích những gì cần tư duy logic cầu long.,7,5
33,Nữ,Son La,vui vẻ… không lười thì đi có hứng thì xác xe,...,"đi mua sắm

không thích: chạy bộ đánh bóng bàn bóng đá ca hát android","Người biết lắng nghe, học giỏi 1 chút (nhưng không tự cao, cái tôi lớn), vui tính hòa đồng, người kiên định không ba phải hùa theo đám đồng, ",trống bị người ta lùa gà nhảy dây,9,4
34,Nữ,Bac Ninh,đôi khi ko thích chia sẻ nhiều lắm huong noi va thich o mot minh,cơm đậu hũ dồn thịt xốt cà trứng ốp la quả các món gỏi,hát tụ tập với bạn bè thích học ngôn ngữ anh bơi lội mình thích hát,Muốn có bạn gái,đi đây đi đó với bạn bè( một mình),6,3
35,Nữ,Vinh Phuc,khá hòa đồng hơi hướng nội ambivert hướng ngoại part-time,phở xào phở); thức uống: nước có ga tôm chiên cá viên chiên mắm tỏi,đọc truyện,"chung ngành học, vui vẻ, hòa đồng, sạch sẽ",game ngủ coi phim ăn đi đây đi đó với bạn bè( một mình) hát đi du lịch,9,6
36,Nam,Nghe An,hướng ngoại 65% hướng nội nói nhiều là người ít nói chuyện,gà jollibee,tháo,Hòa đồng,thích hút thuốc …,6,4
37,Nam,Quang Nam,nói nhiều hướng ngoại thích đi đây đó một người nửa hướng nội,đồ ăn mà dai dai kiểu như bánh bột lọc hay bánh canh í. udon cơm gà bún bò cơm nước ngọt blahblah,online shopping học tiếng nhật hít thở không khí trong lành ở công viên video game thích học thích code,"Tôn trọng không gian riêng tư của người khác, sạch sẽ, chùi dọn phòng, im lặng vào ban đêm",chơi xem phim đánh cầu lông,8,3
38,Nữ,Dong Nai,hướng nội ít nói nhưng hoà đồng thân thiện đôi khi ko thích chia sẻ nhiều lắm tốt bụng mình khá ít nói cũng như là hướng nội hướng ngoại nhung thích ở một mình,rau má mix có ăn . nhiều lắm nào cũng ăn được,thích xem tivi thích đọc travelling ko thích gì hết xem mv ca nhạc,Giàu,nhiếp ảnh ko thiết kế ngôn ngữ ,2,2
39,Nữ,Kien Giang,là một người khá là trầm tư là một người nhiệt tình,cơm trộn phở bò,chăn nuôi tiêu tiền. viết lách đi cắm trại ngoại ngữ,"Người sống có quy củ, dễ thương, đừng ham chơi 🤡 vì mình sẽ chơi cùng, siêng năng ",game mobile android anh văn,9,5
40,Nam,Bac Kan,.... nhưng thích trải nghiệm điều mới ít bạn,mì gói đồ gì có vị cay,chơi cờ vua  xem tin tức công nghệ thể dục đánh bóng bàn,SẠCH! Gọn gàng!!!!,coi phim hoạt hình thích đá banh,6,9
41,Nữ,Kien Giang,thích yên tĩnh dễ ngại,đồ nhướng trừ đồ quá ngọt quá mặn thì cái gì cũng có thể ăn mắm chưng coffee chill,game online đi cắm trại,"Hoà đồng, hoạt bát, thân thiện",phá máy tính,7,3
42,Nữ,Thai Binh,lạc quan năng động mình là dễ gần,món nào mình thấy hợp thì đều thích ăn bánh tráng bún đậu trà sữa bánh mì thịt xá xíu,đi ăn trang điểm học tiếng nhật trống,Xinh đẹp,vệ sinh máy tính,7,3
43,Nữ,Yen Bai,hướng nội nữa mùa hoà đồng với mng hướng ngoại nhưng có xu hướng thích ở một mình (hoặc thêm người nhưng được yên tĩnh) đúng ik chang mô tả mẫu :))) hướng ngoại full time,bánh khọt nui xào,tiếng anh...,"biết đúng sai, có chừng mực - vui vẻ, hài hước nhưng phải có điểm dừng, hiểu quy tắc cộng đồng - nghĩa là không thể thoải mái sống bừa bãi lôi thôi như một mình.",dark fantasy manga,3,2
44,Nữ,Tay Ninh,hướng ngoại thân thiện vui vẻ huong noi va thich o mot minh lắng nghe náo động vùng trời :) mình là người hướng nội thích ở 1 mình hoặc có không gian cá nhân,lẩu thái,coding đá banh học công nghệ tiếng anh... tâm lí học,"vui tính, tích cực",thích đi chơi với bạn bè call điện thoại thích chơi game offline,2,4
45,Nam,Nghe An,lúc nói nhiều lúc nói ít hướng ngoại ít nói nhưng hay chia sẻ với mn,coca cola,ở nhà một mình thích chơi bóng rổ,"Hòa đồng, thẳng thắn, không nói xấu sau lưng, tốt bụng",tám chuyện bói toán,2,1
46,Nữ,Binh Dinh,nói nhiều hướng ngoại thích đi đây đó hướng nội với người ngoài một người hướng nội thích vui vẻ dễ quạu dễ nguôi,nhật cá viên chiên mắm tỏi trà sữa double trân châu,thích thích những gì cần tư duy logic thích xem phim ko trí tuệ như nhau nên điều đó cũng là một sự thú bị,"mong muốn được ở cùng với người có sở thích khoa học với mình, để cùng nhau nói chuyện ",âm nhạc,3,6
47,Nam,Quang Ninh,hòa đồng không thích đám đông lắm nhưng dễ hòa nhập,đồ chiên,coi phim hoạt hình,"Vui tính, hoà đồng, thích nói chuyện, gọn gàng",thích xem tivi thích học thích code cầu lông thích môn toán xem tin tức công nghệ,3,7
48,Nam,Dong Nai,thích ở một mình với gia đình một người hướng ngoại làm biếng độc lập lắng nghe,hầu hết các món con người dùng được nước ép gà bún mắm,hít thở không khí trong lành ở công viên nấu ăn thích vẽ âm nhạc ( nghe nhạc) tìm hiểu những kiến thức đa ngành,"Hòa đồng, vui tính",bóng đá,9,3
49,Nam,Dong Thap,mình là một người hướng nội hướng nội trầm tính là một người ít nói hướng nội nhưng ít nói,bánh khọt trái cây,ráp pc chiêm tinh,Hoà đồng hoạt bát sạch sẽ,shopping ăn uống tấu hài thường thức tác phẩm nghệ thuật,4,4
50,Nữ,Hoa Binh,độc lập,trà sữa double trân châu nước ngọt,xe cộ tháo esports xem phim ngôn tình,"vui tính,  hòa đồng , dễ bắt chuyện ",nói chuyện cùng bạn bè quay tik tok học hóa công nghệ bóng đá,9,2
51,Nam,Ha Giang,dễ chịu,bị dị ứng hải sản có vỏ thịt c2,tiền các chương trình giải trí bói toán,Sạch sẽ,khám phá xung quanh,5,1
52,Nam,Tay Ninh,là 1 ng ít nói hướng nội cà thích ở 1 mình thích sạch sẽ hướng nội part time .. thường là hướng ngoại với ng quen nhma hướng nội với người lạ sống lowkey,ăn pizza phở… các món nhiều gia vị bánh xèo,...) học ngoại ngữ game online vẽ,"sạch sẽ, gọn gàng, có trách nhiệm",thường thức tác phẩm nghệ thuật thích đi chơi với bạn bè,2,4
53,Nữ,Dong Thap,ngại bộc lộ tâm tư tình cảm cá nhân với người khác.,trà đào,bói toán mình thích xem phim ăn uống xem youtube ngủ nghỉ ngơi,"vui vẻ, hòa đồng",uống cà phê bói tử vi ko thích bị ép buộc coi phim hoạt hình,9,1
54,Nam,Hau Giang ,hướng ngoại thân thiện vui vẻ,thích ăn gà thích đồ tự nấu bò né mì,call điện thoại kĩ thuật game,"Là một người biết cách bắt đầu câu chuyện tại vì mình ít nói, tôn trọng ý kiến của nhau, không đòi mói, ngay thẳng, hoà đồng",dark fantasy manga công nghệ,4,8
55,Nữ,Binh Phuoc,í nói hướng nội bạo lọan hướng ngoại 65%,trà chanh trân châu thích ăn mì cay,học tiếng anh đọc truyện tranh chơi cầu lông chiêm tinh thích xem phim,mong muốn được ở cùng phòng với một người có sở thích vẽ và nấu ăn ngon,mình thích xem phim xem phim ngôn tình kĩ thuật pokemon xem các show giải trí thực tế,5,7
56,Nữ,Dien Bien,"khá hướng nội. thích sạch sẽ mình là ambivert
có tính cách khá là khùng khùng điên điên nhưng cũng hay nhiều tâm sự sống lowkey nghiêm túc",bánh socola ngọt ngào có chút đắng lẩy thái,chạy xe mình còn có thể chơi cầu lông nữa chạy bộ đi xe đạp xem tin tức công nghệ,"Người hòa đồng, hoạt bát",hích võ taekwondo đánh cờ vua ngắm cảnh,8,6
57,Nữ,Kon Tum,ghét sự cô đơn thích một mình ngại bộc lộ tâm tư tình cảm cá nhân với người khác. dễ thích ứng,miến trộn .... nui xào mỳ quảng,thích học ngôn ngữ anh cà phê đi du lịch thich chơi thể thao võ,Vui tính,công nghệ tiền hội hoạ,6,4
58,Nữ,Tay Ninh,là một người nội là một người ít nói hướng nội nghiêng về hướng ngoại khá hướng nội. thích sạch sẽ hòa đồng,mình thích trà bí đao ngô gia cơm tấm đồ ăn healthy,coi phim anime,Vui tính hòa đồng ,tấu hài,2,4
59,Nam,Dak Nong,hướng ngoại thân thiện vui vẻ lúc này lúc kia mình khá dễ hòa đồng nhưng tùy đối tượng mình là dễ gần hay ngại,các thế loại mì ăn được uống được no,tiêu tiền. nghe nhạc xem phim đi lượn đường,"Có chung sở thích, vui vẻ hòa đồng",thích ngủ đi chơi phụ kiện công nghệ,6,8
60,Nam,Bac Ninh,cũng hơi hướng ngoại tôi là một người hoạt bát thích ở một mình nhưng vẫn hoà đồng giao tiếp tốt với mọi người,"đồ cuốn
pepsi bánh tàu hủ. các món nướng như cơm sườn",tiêu tiền. học toán,"Ít nói, không nhiều chuyện",thích chơi game học tiếng anh nhảy dây hacking các chương trình giải trí,9,2
61,Nữ,Lao Cai,là 1 người ít nói hướng nội nói nhiều với người quen hướng nội part time .. thường là hướng ngoại với ng quen nhma hướng nội với người lạ thích đám đông đôi khi hướng ngoại,ăn pizza các loại lẩu hoặc các loại nước có gas hải sản đồ gì có vị cay,nhiều lắm . chơi được đa nghề :),"sạch sẻ, biết tôn trọng không gian riêng, có trách nhiệm và ý thức",ở nhà một mình,6,1
62,Nam,Phu Tho,ghét sự cô đơn người hướng ngoại,bánh kẹp thịt thích đồ chiên,vi vu dạo phố,mong muốn có một người bạn có cùng sở thích khám phá giống mình,thich chơi thể thao võ dark fantasy manga tin học mình còn có thể chơi cầu lông nữa lướt mxh,5,1
63,Nam,Quang Tri,cầu toàn là một người ít nói hướng nội nhưng cũng có thẻ hướng ngoại parttime nghiêng về hướng ngoại thích đi ra quán cafe để học bài,bánh tráng,thích xem tivi edit thể thao,"Vui vẻ, đồng cảm",kiếm tiền trí tuệ như nhau nên điều đó cũng là một sự thú bị yoga thích coi phim tin khoa học,4,5
64,Nam,Quang Ngai,thích một mình có thể mời người ta đi ăn nếu vui,lẩu thái đồ gì có vị cay bị dị ứng hải sản có vỏ mình ăn uống healthy nền chỉ uống nước ép trái cây thịt sườn,"kĩ thuật thường thức tác phẩm nghệ thuật thích:
1. thiên nhiên cây cỏ
2. bóng bàn em thích chơi nhạc cụ chơi đàn piano","Người vui tính, hoà đồng, thẳng tính, hoạt bát…",hóng drama tập thể dục,2,5
65,Nam,Hoa Binh,dễ quạu dễ nguôi hướng lung tung nóng nảy - ưu tư hướng ngoại khi cần thiết hay giận vu vơ,sushi,đi dạo ngắm cây,có trách nhiệm,vi vu dạo phố nấu ăn,3,6
66,Nam,Ca Mau,1 tháng chắc 1-2 lần) để giao lưu nhưng không hẳn hướng nội :)) hòa đồng,bún bò bò nea coca cola bánh kẹp thịt bò với sữa,chơi đàn đọc truyện viết code tâm lí học học ngoại ngữ,"Yên tĩnh, chung gu giải trí",bóng rổ,4,1
67,Nữ,Dien Bien,dễ thích nghi,pizza ức gà mì quảng,yoga chăn nuôi đi dạo ngắm cây,"sạch sẽ, hòa đồng",tắm (2l/ngày) thích khám phá xung quanh thế giới đi chơi ngoài trời ...,9,2
68,Nữ,Vung Tau,hướng ngoại vui vẻ hòa đồng lowkey bán hướng nội bán hướng ngoại,bánh gai đặc biệt là chè,trang điểm cầu lông thích học ngôn ngữ anh ca hát,Tính giống mình,ngủ coi phim ăn em thích chơi nhạc cụ pokemon,7,4
69,Nam,Ha Nam,"là một người khá là trầm tư sợ xã hội mình là một người khá rụt rè khi ở một mình. nói rất nhiều mình là ambivert
có tính cách khá là khùng khùng điên điên nhưng cũng hay nhiều tâm sự",ham bơ gơ cơm chiên trứng trà đá mì udon có ăn . nhiều lắm nào cũng ăn được,nhạc cụ đi coi phim tìm hiểu những kiến thức đa ngành,"Hiểu chuyện và sạch sẽ một chút, trầm tính ít nói nữa thì quá tuyệt vời",đá cầu tấu hài,5,9
70,Nữ,Kien Giang,là người ít nói nói nhiều với người quen độc lập thích tự do,gà nói chung các đồ ăn hỗ trợ cho việc giảm cân,nhảy dây ngoại ngữ chơi cờ vua ngắm bầu trời,"Sạch sẽ, dễ nói chuyện",quay tik tok,9,6
71,Nữ,Kien Giang,độc lập lười làm việc nhà hướng ngoại nhung thích ở một mình mình khá ít nói cũng như là hướng nội,"mình thích ăn đồ ngon=))))
ăn chay hay ăn mặn gì cũng đc mình thích ăn bánh tráng cuốn trà sữa bánh ngọt xúc xích",tám chuyện phim,Dễ nói chuyện và giàu,cafe ...) game,1,6
72,Nam,Ca Mau,tôi là một người hoạt bát,uống caffee,cầu lông phim hành động chơi cầu lông đá cầu cũng không biết thích gì,dễ tính,trống thích hát,6,4
73,Nữ,Ha Nam,thích làm việc mình khá ít nói cũng như là hướng nội .... nhưng thích trải nghiệm điều mới,gà,đi chơi,Muốn có bạn gái,mình còn có thể chơi cầu lông nữa được ăn,2,3
74,Nam,Hoa Binh,lắng nghe í nói hướng nội là một người nội nghiêng về hướng ngoại,đồ ăn vặt hoặc đồ hàn đồ cay hàn quốc uống trà sữa,vẽ... thích chơi game chụp ảnh,"vui vẻ, hòa đồng",thích coi phim,6,8
75,Nam,Vinh Phuc,có thể đi ăn ngoài nếu được mời hướng nội nhưng thích làm social media hướng ngoại part-time,trà sữa double trân châu nem nướng nha trang bánh gạo,vệ sinh máy tính mình thích xem phim thích bơi đọc tiểu thuyết phim truyền hình,"Người trung thực, thật lòng, vui tính, có chí cầu tiến ",.. chơi game phụ kiện công nghệ,4,2
76,Nữ,Phu Yen,không thích sự ồn ào extrovert hướng ngoại nhưng có xu hướng thích ở một mình (hoặc thêm người nhưng được yên tĩnh) hướng ngoại thân thiện vui vẻ dễ chịu,canh trứng cà chua mình thích ăn bánh tráng cuốn sting bò né,chạy xe xem tin tức công nghệ,"Hoà đồng, thấu hiểu, có cùng sở thích là một điểm cộng",tập trung nghiên cứu một vấn đề nào đó chạy bộ cờ vua,1,5
77,Nam,Bac Giang,thích mọi thứ có trật tự,bánh mì canh kim chi đồ cay mì ý cháo lòng,đi cắm trại học hỏi  o buổi sáng chơi đàn,"Tôn trọng không gian riêng tư của người khác, sạch sẽ, chùi dọn phòng, im lặng vào ban đêm",đàn tỉ tê những câu chuyện đời thường sâu sắc với mọi người xung quanh.,3,9
78,Nam,Tien Giang,hương ngoại nhưng khó kết bạn với hơi trầm em thích ở tập thể nhưng có không gian riêng. em hướng nội hướng ngoại part time,ham bơ gơ mình rất thích ăn đồ ăn cay,chiêm tinh học kĩ thuật câu cá đá bóng,Không thích ai có tính cách bảo thủ ,"coi phim hoạt hình học tiếng anh đi mua sắm

không thích: chạy bộ",2,4
79,Nữ,Bac Lieu,thích tụ tập bạn bè thân thiết ở nhà,nem nướng nha trang bánh mì kẹp các loại,tin học yoga tấu hài,"Đừng quá bừa bộn, nhiều chuyện",kpop coding badminton tập trung nghiên cứu một vấn đề nào đó chơi nhạc,9,3
80,Nữ,Cao Bang,thích suy diễn mọi chuyện trên đời có thể mời người ta đi ăn nếu vui quan tâm người khác thích tự lập,trà đào nước thảo mộc ăn cơm gia đình tự nấu các món ăn truyền thống hoặc món ăn đường phố việt nam phở bò,thích xem phim,"Vui tính, đơn giản",tiếng anh nói chuyện cùng bạn bè trang điểm truyện,6,4
81,Nam,Quang Ninh,hoặc có backup),bún nước lèo,đi cắm trại,"không tự tiện, biết nghĩ cho người khác, hoạt bát, hài hước",thích những gì cần tư duy logic,1,1
82,Nam,Ca Mau,cởi mở giống ví dụ ....,kem hủ tiếu nam vang bánh ướt,toán học đọc sách.. đánh cờ vua xem tin tức công nghệ,Hoà đồng hoạt bát sạch sẽ,"bóng đá thích:
1. thiên nhiên cây cỏ
2. bóng bàn thích đọc nấu ăn",7,2
83,Nữ,Kon Tum,cũng hơi hướng ngoại thích gọn gàng thích 1 mình mình là một người hướng ngoại có quy tắc riêng,chỉ thích cafe phin,thích chơi cầu lông các chương trình giải trí vẽ coi phim,"chung ngành học, vui vẻ, hòa đồng, sạch sẽ",tin khoa học tin học làm gốm badminton cầu long.,4,3
84,Nữ,Ha Tinh,nóng nảy - ưu tư,nước rau má cá viên chiên mắm tỏi cháo gà bông lan trứng muối sting,học tiếng anh bóng đá đếm tiền chơi đàn edit,"sạch sẽ, hòa đồng",travelling tháo bói toán làm gốm,9,9
85,Nữ,Vinh Long,cởi mở dễ ngại lúc này lúc kia,fanta vị nho : d,thích đá banh hát,Vui tính náo nhiệt thích đi chơi,khám phá xung quanh tấu hài chơi cờ vua,6,2
86,Nam,Lam Dong,nửa hướng ngoại thích một mình nhưng lại sợ cô đơn là một người hướng nội,hũ tiếu thì cái gì mình cũng ghiền nhưng điều kiện là phải nấu ngon cheese fries,đá banh,Hoà đồng lịch sự ngoan ngoãn ko quậy phá và vui vẻ,đọc sách.. chơi đàn piano làm mô hình quay tik tok,1,7
87,Nam,Hoa Binh,thân thiện thích ờ chỗ không đông người thích kết bạn dễ hòa nhập,bánh khọt thích bánh sandwich nướng bánh . nước coca . mì cay... thịt,dọn dẹp,Vui tính hòa đồng ,..,9,7
